order_id,customer_id,order_date,sales_channel,payment_method,order_status
ORD000112,CUST01175,2026-08-24,Mobile App,Wallet,Completed
ORD000113,CUST00906,2026-08-02,Website,UPI,Completed
ORD000114,CUST00286,2024-02-11,Mobile App,UPI,Completed
ORD000115,CUST00452,2025-09-24,Website,UPI,Completed
ORD000116,CUST00400,2025-10-18,Mobile App,UPI,Returned
ORD000117,CUST00401,2024-10-11,Website,Debit Card,Completed
ORD000118,CUST00179,2025-11-18,Marketplace,Credit Card,Completed
ORD000119,CUST01048,2025-09-09,Marketplace,COD,Completed
ORD000120,CUST00876,2024-05-31,Website,Credit Card,Completed
ORD000121,CUST00631,2024-12-25,Marketplace,COD,Completed
ORD000122,CUST00910,2026-01-15,Mobile App,Credit Card,Completed
ORD000123,CUST00869,2024-06-16,Mobile App,Credit Card,Completed
ORD000124,CUST00177,2025-09-04,Website,Credit Card,Returned
ORD000125,CUST00687,2025-06-21,Website,COD,Completed
ORD000126,CUST00014,2024-03-31,Website,COD,Completed
ORD000127,CUST00947,2025-07-23,Mobile App,Net Banking,Completed
ORD000128,CUST00782,2024-07-09,Website,Credit Card,Completed
ORD000129,CUST01199,2024-11-05,Website,Debit Card,Completed
ORD000130,CUST00006,2024-01-28,Website,Credit Card,Completed
ORD000131,CUST00968,2025-10-13,Website,Debit Card,Completed
ORD000132,CUST01008,2024-07-02,Marketplace,Debit Card,Completed
ORD000133,CUST00568,2026-02-22,Website,COD,Completed
ORD000134,CUST01191,2025-01-05,Website,Credit Card,Completed
ORD000135,CUST00975,2025-12-03,Marketplace,Wallet,Completed
ORD000136,CUST01179,2026-01-20,Website,UPI,Completed
ORD000137,CUST00655,2024-05-29,Website,Net Banking,Completed
ORD000138,CUST00559,2024-02-24,Website,Debit Card,Returned
ORD000139,CUST00594,2024-02-19,Website,Debit Card,Completed
ORD000140,CUST00376,2024-07-17,Mobile App,Debit Card,Completed
ORD000141,CUST00648,2024-11-26,Mobile App,Net Banking,Completed
ORD000142,CUST00743,2025-12-02,Website,Debit Card,Completed
ORD000143,CUST00281,2024-01-14,Website,Credit Card,Completed
ORD000144,CUST00334,2024-12-14,Website,UPI,Completed
ORD000145,CUST01145,2024-07-11,Mobile App,Wallet,Completed
ORD000146,CUST01129,2025-06-28,Mobile App,Wallet,Completed
ORD000147,CUST00157,2026-07-27,Website,UPI,Completed
ORD000148,CUST00639,2024-12-22,Mobile App,UPI,Completed
ORD000149,CUST01072,2025-09-03,Mobile App,Credit Card,Completed
ORD000150,CUST00243,2024-01-30,Website,Wallet,Completed
ORD000151,CUST00630,2024-08-20,Website,UPI,Completed
ORD000152,CUST00229,2025-12-08,Website,Net Banking,Completed
ORD000153,CUST00403,2024-02-13,Website,Wallet,Completed
ORD000154,CUST00961,2024-03-01,Website,UPI,Completed
ORD000155,CUST00022,2025-11-14,Mobile App,Wallet,Cancelled
ORD000156,CUST00410,2024-07-29,Website,Credit Card,Completed
ORD000157,CUST00569,2026-05-16,Marketplace,Credit Card,Completed
ORD000158,CUST00496,2025-05-27,Website,UPI,Completed
ORD000159,CUST00029,2026-02-20,Mobile App,Net Banking,Returned
ORD000160,CUST01101,2024-06-24,Website,Net Banking,Cancelled
ORD000161,CUST01033,2026-07-31,Mobile App,Credit Card,Completed
ORD000162,CUST00901,2024-07-08,Mobile App,UPI,Completed
ORD000163,CUST00869,2025-01-23,Website,UPI,Completed
ORD000164,CUST00254,2024-11-17,Website,Credit Card,Completed
ORD000165,CUST00591,2025-01-04,Mobile App,UPI,Completed
ORD000166,CUST00789,2024-04-28,Website,Debit Card,Completed
ORD000167,CUST00910,2026-05-11,Website,Credit Card,Returned
ORD000168,CUST00387,2025-03-14,Mobile App,COD,Completed
ORD000169,CUST00753,2026-08-19,Website,COD,Completed
ORD000170,CUST00812,2024-04-17,Website,Debit Card,Completed
ORD000171,CUST00809,2024-05-26,Website,Debit Card,Completed
ORD000172,CUST00346,2026-08-05,Website,COD,Completed
ORD000173,CUST00828,2025-09-01,Website,Wallet,Completed
ORD000174,CUST01192,2024-10-12,Mobile App,Net Banking,Completed
ORD000175,CUST00820,2026-08-23,Website,Debit Card,Returned
ORD000176,CUST01048,2025-05-11,Website,Net Banking,Completed
ORD000177,CUST01003,2024-09-13,Website,Debit Card,Completed
ORD000178,CUST00109,2024-04-11,Mobile App,Credit Card,Completed
ORD000179,CUST00784,2024-07-02,Mobile App,Credit Card,Completed
ORD000180,CUST00198,2025-09-30,Mobile App,Debit Card,Completed
ORD000181,CUST00955,2025-05-19,Website,Debit Card,Completed
ORD000182,CUST01111,2024-09-24,Website,Wallet,Completed
ORD000183,CUST00065,2026-02-21,Marketplace,COD,Completed
ORD000184,CUST00645,2025-04-05,Mobile App,Credit Card,Completed
ORD000185,CUST01141,2024-06-30,Mobile App,Net Banking,Cancelled
ORD000186,CUST01007,2024-06-17,Website,Credit Card,Completed
ORD000187,CUST00225,2026-02-21,Mobile App,Credit Card,Completed
ORD000188,CUST01172,2025-07-06,Website,Debit Card,Completed
ORD000189,CUST00802,2024-02-27,Website,Debit Card,Completed
ORD000190,CUST00723,2025-11-23,Mobile App,Credit Card,Completed
ORD000191,CUST00093,2025-08-27,Website,Credit Card,Completed
ORD000192,CUST00056,2025-08-20,Mobile App,Debit Card,Completed
ORD000193,CUST00707,2025-03-14,Marketplace,Credit Card,Completed
ORD000194,CUST00508,2024-09-07,Website,Credit Card,Completed
ORD000195,CUST00135,2025-12-05,Mobile App,UPI,Completed
ORD000196,CUST00668,2025-07-05,Website,Debit Card,Completed
ORD000197,CUST00863,2025-06-11,Website,Net Banking,Completed
ORD000198,CUST00774,2024-11-20,Mobile App,Credit Card,Completed
ORD000199,CUST00205,2025-05-15,Mobile App,UPI,Completed
ORD000200,CUST00696,2026-04-10,Website,Credit Card,Returned
ORD000201,CUST01018,2024-07-25,Mobile App,COD,Completed
ORD000202,CUST01098,2026-05-20,Website,UPI,Completed
ORD000203,CUST00824,2025-08-10,Mobile App,Debit Card,Returned
ORD000204,CUST01185,2026-01-04,Website,Credit Card,Completed
ORD000205,CUST01088,2026-03-31,Website,UPI,Completed
ORD000206,CUST00619,2025-10-29,Website,Credit Card,Completed
ORD000207,CUST00410,2024-11-16,Website,UPI,Completed
ORD000208,CUST01122,2025-11-18,Website,UPI,Completed
ORD000209,CUST00383,2026-06-02,Mobile App,UPI,Returned
ORD000210,CUST00958,2026-01-30,Website,Debit Card,Completed
ORD000211,CUST00889,2026-05-23,Marketplace,Net Banking,Completed
ORD000212,CUST00747,2024-07-24,Website,UPI,Completed
ORD000213,CUST00615,2026-02-22,Mobile App,Credit Card,Cancelled
ORD000214,CUST00132,2026-07-22,Mobile App,Wallet,Completed
ORD000215,CUST00329,2024-10-20,Website,Debit Card,Completed
ORD000216,CUST00308,2024-04-26,Website,UPI,Completed
ORD000217,CUST00995,2025-04-20,Mobile App,Credit Card,Completed
ORD000218,CUST00414,2024-02-07,Website,UPI,Completed
ORD000219,CUST00569,2026-04-02,Mobile App,UPI,Completed
ORD000220,CUST00996,2026-01-09,Mobile App,UPI,Cancelled
ORD000221,CUST00611,2024-11-17,Mobile App,COD,Completed
ORD000222,CUST00185,2025-01-07,Website,Wallet,Completed
ORD000223,CUST00230,2024-08-29,Mobile App,Credit Card,Completed
ORD000224,CUST01189,2025-11-11,Marketplace,COD,Completed
ORD000225,CUST00185,2026-06-24,Website,UPI,Completed
ORD000226,CUST01197,2024-12-03,Mobile App,Wallet,Completed
ORD000227,CUST00867,2026-08-15,Website,UPI,Completed
ORD000228,CUST00901,2024-10-08,Website,COD,Completed
ORD000229,CUST00768,2025-06-30,Mobile App,UPI,Completed
ORD000230,CUST00505,2025-05-01,Marketplace,COD,Returned
ORD000231,CUST00974,2025-01-06,Mobile App,Wallet,Completed
ORD000232,CUST00072,2026-07-15,Mobile App,Debit Card,Returned
ORD000233,CUST00491,2025-12-08,Website,Credit Card,Completed
ORD000234,CUST00744,2025-12-18,Marketplace,Net Banking,Completed
ORD000235,CUST00907,2024-08-30,Website,COD,Completed
ORD000236,CUST00524,2026-07-28,Website,COD,Completed
ORD000237,CUST00431,2024-10-31,Mobile App,UPI,Completed
ORD000238,CUST00833,2024-11-20,Mobile App,UPI,Completed
ORD000239,CUST01007,2026-03-09,Website,Credit Card,Completed
ORD000240,CUST00866,2026-01-04,Mobile App,Wallet,Completed
ORD000241,CUST00535,2025-12-16,Website,Credit Card,Completed
ORD000242,CUST01122,2026-04-12,Mobile App,Credit Card,Completed
ORD000243,CUST00377,2024-02-23,Mobile App,Wallet,Completed
ORD000244,CUST00410,2025-02-14,Mobile App,Credit Card,Completed
ORD000245,CUST00512,2024-06-10,Website,COD,Completed
ORD000246,CUST00267,2026-02-20,Mobile App,Net Banking,Completed
ORD000247,CUST00925,2024-11-23,Website,Net Banking,Completed
ORD000248,CUST00671,2025-12-04,Mobile App,UPI,Completed
ORD000249,CUST00806,2024-07-05,Mobile App,COD,Cancelled
ORD000250,CUST00043,2024-08-17,Marketplace,COD,Completed
ORD000251,CUST00469,2025-10-03,Marketplace,COD,Completed
ORD000252,CUST00346,2025-12-19,Website,Debit Card,Completed
ORD000253,CUST00183,2024-06-01,Marketplace,UPI,Completed
ORD000254,CUST01077,2024-01-15,Website,COD,Completed
ORD000255,CUST01013,2025-11-20,Website,Net Banking,Completed
ORD000256,CUST00546,2026-06-01,Website,Credit Card,Completed
ORD000257,CUST00424,2026-05-26,Mobile App,COD,Completed
ORD000258,CUST00388,2025-11-24,Website,Credit Card,Completed
ORD000259,CUST00537,2024-10-24,Website,Credit Card,Completed
ORD000260,CUST00939,2025-08-19,Website,Credit Card,Cancelled
ORD000261,CUST00815,2025-12-10,Mobile App,Net Banking,Completed
ORD000262,CUST00525,2026-01-23,Website,Debit Card,Completed
ORD000263,CUST00481,2026-08-11,Website,Credit Card,Completed
ORD000264,CUST00094,2025-11-17,Website,Credit Card,Completed
ORD000265,CUST00760,2025-02-08,Website,COD,Completed
ORD000266,CUST00534,2024-07-02,Website,Credit Card,Completed
ORD000267,CUST00271,2025-04-24,Website,Net Banking,Completed
ORD000268,CUST00240,2024-09-23,Website,COD,Completed
ORD000269,CUST00576,2026-05-04,Mobile App,COD,Completed
ORD000270,CUST00540,2026-06-16,Mobile App,Net Banking,Completed
ORD000271,CUST00893,2024-11-16,Mobile App,Credit Card,Returned
ORD000272,CUST00310,2026-02-21,Mobile App,COD,Completed
ORD000273,CUST00109,2025-03-26,Website,UPI,Completed
ORD000274,CUST00533,2025-04-26,Website,Credit Card,Completed
ORD000275,CUST01014,2026-07-05,Website,Credit Card,Completed
ORD000276,CUST00938,2025-05-11,Website,Wallet,Cancelled
ORD000277,CUST00716,2024-05-06,Website,COD,Completed
ORD000278,CUST01042,2024-06-21,Mobile App,Debit Card,Completed
ORD000279,CUST01196,2024-08-05,Marketplace,UPI,Completed
ORD000280,CUST00853,2024-07-03,Marketplace,UPI,Completed
ORD000281,CUST00674,2024-04-06,Website,Net Banking,Completed
ORD000282,CUST00766,2025-02-07,Mobile App,COD,Completed
ORD000283,CUST00060,2024-06-06,Website,Wallet,Completed
ORD000284,CUST00552,2025-04-09,Mobile App,UPI,Returned
ORD000285,CUST00928,2025-11-02,Website,Net Banking,Completed
ORD000286,CUST01166,2026-03-27,Website,COD,Completed
ORD000287,CUST00662,2024-10-16,Mobile App,Net Banking,Completed
ORD000288,CUST00782,2025-09-08,Website,UPI,Completed
ORD000289,CUST00817,2026-02-28,Website,Wallet,Completed
ORD000290,CUST00825,2026-03-09,Website,Net Banking,Completed
ORD000291,CUST00612,2024-05-03,Website,Credit Card,Completed
ORD000292,CUST00269,2024-11-13,Website,UPI,Completed
ORD000293,CUST01003,2024-07-23,Website,Credit Card,Completed
ORD000294,CUST00867,2025-09-06,Website,Credit Card,Completed
ORD000295,CUST00890,2024-07-09,Mobile App,UPI,Completed
ORD000296,CUST00460,2025-04-19,Mobile App,Net Banking,Returned
ORD000297,CUST01075,2025-06-23,Website,Credit Card,Completed
ORD000298,CUST00979,2026-03-31,Website,COD,Completed
ORD000299,CUST00510,2024-11-03,Mobile App,Credit Card,Completed
ORD000300,CUST00093,2024-03-19,Website,Credit Card,Completed
ORD000301,CUST01165,2025-04-20,Mobile App,Credit Card,Completed
ORD000302,CUST01032,2026-02-26,Website,Net Banking,Completed
ORD000303,CUST00374,2026-03-16,Mobile App,UPI,Completed
ORD000304,CUST00610,2025-12-22,Website,Net Banking,Completed
ORD000305,CUST00543,2025-04-05,Website,COD,Completed
ORD000306,CUST00380,2024-08-04,Website,COD,Completed
ORD000307,CUST00218,2025-11-20,Website,UPI,Completed
ORD000308,CUST00352,2024-01-14,Mobile App,Credit Card,Completed
ORD000309,CUST00997,2025-11-04,Website,Wallet,Completed
ORD000310,CUST00809,2025-12-08,Mobile App,UPI,Completed
ORD000311,CUST00230,2024-07-14,Mobile App,Net Banking,Completed
ORD000312,CUST00429,2024-01-28,Website,UPI,Completed
ORD000313,CUST01104,2026-05-12,Website,Credit Card,Completed
ORD000314,CUST00865,2025-04-30,Website,UPI,Completed
ORD000315,CUST00912,2025-12-20,Marketplace,Credit Card,Completed
ORD000316,CUST00497,2025-08-22,Website,Debit Card,Completed
ORD000317,CUST00684,2024-02-22,Website,Debit Card,Completed
ORD000318,CUST01016,2025-03-01,Mobile App,Debit Card,Completed
ORD000319,CUST00076,2024-10-24,Website,Credit Card,Completed
ORD000320,CUST01000,2025-09-18,Website,UPI,Completed
ORD000321,CUST00647,2025-08-13,Mobile App,UPI,Completed
ORD000322,CUST00970,2026-06-29,Website,Debit Card,Completed
ORD000323,CUST00894,2025-04-04,Website,Credit Card,Completed
ORD000324,CUST00898,2024-12-18,Website,UPI,Cancelled
ORD000325,CUST00960,2024-12-13,Website,Credit Card,Completed
ORD000326,CUST00738,2025-03-02,Mobile App,Wallet,Completed
ORD000327,CUST00425,2025-09-28,Website,Net Banking,Completed
ORD000328,CUST00355,2024-05-12,Website,Debit Card,Completed
ORD000329,CUST01012,2025-03-01,Website,UPI,Completed
ORD000330,CUST00735,2024-01-19,Mobile App,Credit Card,Completed
ORD000331,CUST01032,2026-04-27,Website,UPI,Completed
ORD000332,CUST00465,2025-09-24,Website,UPI,Completed
ORD000333,CUST00728,2024-12-14,Mobile App,Net Banking,Completed
ORD000334,CUST00310,2026-07-06,Mobile App,COD,Completed
ORD000335,CUST00104,2024-04-16,Marketplace,Credit Card,Completed
ORD000336,CUST00228,2026-05-11,Marketplace,Wallet,Completed
ORD000337,CUST00209,2026-05-28,Mobile App,UPI,Completed
ORD000338,CUST00242,2025-10-07,Mobile App,COD,Completed
ORD000339,CUST00905,2024-10-26,Mobile App,Credit Card,Cancelled
ORD000340,CUST00745,2024-06-06,Website,UPI,Completed
ORD000341,CUST00852,2025-03-25,Mobile App,UPI,Completed
ORD000342,CUST00700,2025-04-30,Website,UPI,Completed
ORD000343,CUST00850,2026-01-02,Website,Debit Card,Completed
ORD000344,CUST01085,2026-02-10,Website,UPI,Completed
ORD000345,CUST00839,2025-02-27,Mobile App,COD,Completed
ORD000346,CUST00741,2025-11-29,Marketplace,Credit Card,Completed
ORD000347,CUST01060,2026-01-04,Marketplace,UPI,Completed
ORD000348,CUST00337,2026-03-01,Website,Credit Card,Completed
ORD000349,CUST00310,2026-08-02,Marketplace,UPI,Completed
ORD000350,CUST01065,2025-12-31,Marketplace,Credit Card,Cancelled
ORD000351,CUST01134,2025-12-18,Mobile App,Net Banking,Completed
ORD000352,CUST00017,2024-12-18,Mobile App,COD,Completed
ORD000353,CUST00828,2024-05-30,Website,UPI,Completed
ORD000354,CUST00906,2026-03-18,Mobile App,COD,Completed
ORD000355,CUST00405,2025-02-18,Mobile App,UPI,Completed
ORD000356,CUST00259,2025-02-03,Mobile App,Debit Card,Completed
ORD000357,CUST01131,2025-06-07,Website,Credit Card,Completed
ORD000358,CUST00058,2024-01-24,Mobile App,Debit Card,Completed
ORD000359,CUST00623,2026-05-02,Mobile App,COD,Completed
ORD000360,CUST00764,2024-03-02,Website,Credit Card,Completed
ORD000361,CUST00256,2026-02-13,Website,Debit Card,Completed
ORD000362,CUST00484,2024-12-13,Mobile App,COD,Completed
ORD000363,CUST01093,2026-07-04,Mobile App,UPI,Completed
ORD000364,CUST01174,2025-11-13,Mobile App,Net Banking,Completed
ORD000365,CUST00216,2024-09-10,Website,Debit Card,Completed
ORD000366,CUST00931,2025-01-04,Website,Net Banking,Completed
ORD000367,CUST00189,2024-03-24,Website,COD,Completed
ORD000368,CUST00160,2025-04-01,Website,Credit Card,Completed
ORD000369,CUST00809,2025-06-15,Mobile App,Debit Card,Completed
ORD000370,CUST01003,2025-03-26,Mobile App,Credit Card,Completed
ORD000371,CUST00261,2025-06-01,Website,Credit Card,Returned
ORD000372,CUST01084,2025-06-09,Website,UPI,Completed
ORD000373,CUST00322,2026-02-03,Marketplace,Credit Card,Returned
ORD000374,CUST00837,2025-09-08,Website,Credit Card,Completed
ORD000375,CUST00314,2025-06-19,Website,Credit Card,Completed
ORD000376,CUST00996,2024-10-28,Website,UPI,Completed
ORD000377,CUST00100,2025-03-07,Marketplace,Credit Card,Completed
ORD000378,CUST01002,2024-07-06,Website,Debit Card,Completed
ORD000379,CUST00856,2024-02-15,Website,Credit Card,Completed
ORD000380,CUST00773,2024-12-11,Website,Net Banking,Completed
ORD000381,CUST00284,2026-02-19,Website,Credit Card,Completed
ORD000382,CUST00306,2025-04-04,Mobile App,Credit Card,Completed
ORD000383,CUST00839,2025-11-11,Website,COD,Completed
ORD000384,CUST00908,2024-02-16,Mobile App,Debit Card,Cancelled
ORD000385,CUST00051,2025-12-25,Mobile App,Wallet,Completed
ORD000386,CUST00254,2025-07-28,Mobile App,UPI,Returned
ORD000387,CUST01182,2025-07-08,Mobile App,COD,Completed
ORD000388,CUST00975,2026-02-07,Website,UPI,Completed
ORD000389,CUST00369,2025-06-28,Marketplace,UPI,Completed
ORD000390,CUST01187,2026-04-29,Website,Wallet,Completed
ORD000391,CUST00093,2025-02-15,Website,COD,Completed
ORD000392,CUST00850,2024-07-03,Website,Credit Card,Completed
ORD000393,CUST00235,2024-04-03,Marketplace,Debit Card,Completed
ORD000394,CUST00524,2024-07-06,Mobile App,UPI,Returned
ORD000395,CUST00347,2025-11-25,Website,COD,Completed
ORD000396,CUST00120,2025-12-31,Website,UPI,Completed
ORD000397,CUST00664,2026-07-03,Website,COD,Cancelled
ORD000398,CUST00415,2024-02-23,Website,Debit Card,Completed
ORD000399,CUST01034,2025-06-04,Website,UPI,Completed
ORD000400,CUST01133,2025-04-20,Website,Credit Card,Completed
ORD000401,CUST00039,2024-08-27,Website,COD,Completed
ORD000402,CUST01137,2024-09-09,Mobile App,UPI,Completed
ORD000403,CUST00172,2025-04-01,Mobile App,Credit Card,Completed
ORD000404,CUST00765,2024-05-25,Mobile App,UPI,Completed
ORD000405,CUST01137,2025-03-09,Website,UPI,Completed
ORD000406,CUST00593,2026-04-29,Mobile App,UPI,Completed
ORD000407,CUST00988,2026-08-01,Website,UPI,Completed
ORD000408,CUST00436,2024-12-25,Mobile App,Credit Card,Completed
ORD000409,CUST01094,2026-01-26,Mobile App,Credit Card,Completed
ORD000410,CUST00287,2024-05-05,Mobile App,COD,Cancelled
ORD000411,CUST01034,2024-08-03,Marketplace,Credit Card,Completed
ORD000412,CUST00536,2024-12-16,Marketplace,Net Banking,Completed
ORD000413,CUST00659,2025-11-09,Website,Credit Card,Completed
ORD000414,CUST00274,2024-01-17,Mobile App,UPI,Completed
ORD000415,CUST00020,2026-07-12,Mobile App,Credit Card,Cancelled
ORD000416,CUST01002,2025-12-21,Mobile App,Debit Card,Completed
ORD000417,CUST00159,2025-10-26,Mobile App,COD,Completed
ORD000418,CUST00253,2025-03-31,Website,Wallet,Completed
ORD000419,CUST00793,2025-01-01,Website,Net Banking,Completed
ORD000420,CUST00256,2024-01-09,Website,COD,Completed
ORD000421,CUST00041,2024-08-14,Mobile App,Net Banking,Completed
ORD000422,CUST00185,2024-07-15,Mobile App,Debit Card,Completed
ORD000423,CUST00480,2024-08-14,Marketplace,COD,Completed
ORD000424,CUST00429,2025-05-19,Website,COD,Completed
ORD000425,CUST00569,2024-04-23,Mobile App,Credit Card,Completed
ORD000426,CUST01159,2025-11-06,Mobile App,Debit Card,Completed
ORD000427,CUST00263,2025-08-25,Mobile App,UPI,Returned
ORD000428,CUST00467,2026-05-26,Mobile App,Net Banking,Completed
ORD000429,CUST00048,2026-05-18,Marketplace,Net Banking,Completed
