order_id,payment_method,payment_status,transaction_date,order_amount
ORD000095,Credit Card,Failed,2024-10-10,43982.61
ORD000096,COD,Paid,2025-06-18,28787.51
ORD000097,Credit Card,Paid,2024-05-16,27806.99
ORD000098,COD,Paid,2024-10-25,48819.73
ORD000099,Credit Card,Paid,2026-08-29,24560.29
ORD000100,Debit Card,Paid,2025-10-24,12410.19
ORD000101,Debit Card,Paid,2025-07-15,46092.82
ORD000102,UPI,Paid,2024-11-09,3390.28
ORD000103,Credit Card,Paid,2024-10-22,31384.94
ORD000104,Credit Card,Paid,2025-09-25,21213.24
ORD000105,UPI,Paid,2026-05-09,17493.93
ORD000106,Credit Card,Paid,2025-08-11,46060.96
ORD000107,COD,Paid,2025-12-25,32482.53
ORD000108,Debit Card,Paid,2025-04-05,41585.34
ORD000109,Net Banking,Paid,2024-01-27,5147.63
ORD000110,COD,Paid,2026-08-09,16525.44
ORD000111,Credit Card,Failed,2025-06-03,13302.68
ORD000112,Wallet,Paid,2026-08-25,7930.55
ORD000113,UPI,Paid,2026-08-02,19221.23
ORD000114,UPI,Refunded,2024-02-11,21985.15
ORD000115,UPI,Paid,2025-09-25,4642.18
ORD000116,UPI,Paid,2025-10-18,47422.08
ORD000117,Debit Card,Paid,2024-10-11,32745.14
ORD000118,Credit Card,Paid,2025-11-19,35602.19
ORD000119,COD,Paid,2025-09-10,37882.8
ORD000120,Credit Card,Paid,2024-05-31,6580.63
ORD000121,COD,Refunded,2024-12-26,6545.99
ORD000122,Credit Card,Failed,2026-01-15,787.85
ORD000123,Credit Card,Paid,2024-06-17,48002.14
ORD000124,Credit Card,Paid,2025-09-04,42700.13
ORD000125,COD,Failed,2025-06-21,16178.24
ORD000126,COD,Paid,2024-04-01,21372.8
ORD000127,Net Banking,Paid,2025-07-23,5124.9
ORD000128,Credit Card,Failed,2024-07-10,6179.01
ORD000129,Debit Card,Paid,2024-11-06,46214.04
ORD000130,Credit Card,Paid,2024-01-29,4902.84
ORD000131,Debit Card,Paid,2025-10-13,38739.68
ORD000132,Debit Card,Paid,2024-07-03,39567.22
ORD000133,COD,Paid,2026-02-23,49868.92
ORD000134,Credit Card,Paid,2025-01-05,11060.25
ORD000135,Wallet,Paid,2025-12-04,38246.98
ORD000136,UPI,Paid,2026-01-20,29307.3
ORD000137,Net Banking,Paid,2024-05-29,13635.55
ORD000138,Debit Card,Paid,2024-02-25,35826.63
ORD000139,Debit Card,Paid,2024-02-20,20056.48
ORD000140,Debit Card,Paid,2024-07-18,9267.63
ORD000141,Net Banking,Paid,2024-11-26,19281.99
ORD000142,Debit Card,Paid,2025-12-03,45224.74
ORD000143,Credit Card,Paid,2024-01-15,38422.41
ORD000144,UPI,Paid,2024-12-14,36357.47
ORD000145,Wallet,Paid,2024-07-11,22349.3
ORD000146,Wallet,Paid,2025-06-28,12439.25
ORD000147,UPI,Paid,2026-07-27,35863.88
ORD000148,UPI,Paid,2024-12-22,39266.63
ORD000149,Credit Card,Paid,2025-09-04,36200.94
ORD000150,Wallet,Paid,2024-01-31,46997.23
ORD000151,UPI,Paid,2024-08-20,34392
ORD000152,Net Banking,Paid,2025-12-08,49023.98
ORD000153,Wallet,Paid,2024-02-13,33908.28
ORD000154,UPI,Paid,2024-03-02,15598.51
ORD000155,Wallet,Paid,2025-11-15,43025.25
ORD000156,Credit Card,Paid,2024-07-29,13349.77
ORD000157,Credit Card,Paid,2026-05-16,40085.85
ORD000158,UPI,Paid,2025-05-27,10621.45
ORD000159,Net Banking,Paid,2026-02-20,28909.47
ORD000160,Net Banking,Failed,2024-06-25,8663.58
ORD000161,Credit Card,Paid,2026-08-01,39237.37
ORD000162,UPI,Paid,2024-07-09,19218.4
ORD000163,UPI,Paid,2025-01-23,49427.77
ORD000164,Credit Card,Paid,2024-11-17,33453.69
ORD000165,UPI,Paid,2025-01-04,16954.6
ORD000166,Debit Card,Paid,2024-04-29,10327.62
ORD000167,Credit Card,Paid,2026-05-12,24040.72
ORD000168,COD,Paid,2025-03-15,6416.3
ORD000169,COD,Paid,2026-08-20,44542.09
ORD000170,Debit Card,Paid,2024-04-18,48470.42
ORD000171,Debit Card,Paid,2024-05-27,19681.71
ORD000172,COD,Paid,2026-08-05,40911.61
ORD000173,Wallet,Refunded,2025-09-01,29041.92
ORD000174,Net Banking,Paid,2024-10-12,25519.24
ORD000175,Debit Card,Paid,2026-08-24,44517.96
ORD000176,Net Banking,Paid,2025-05-12,49792.64
ORD000177,Debit Card,Paid,2024-09-14,46673.4
ORD000178,Credit Card,Paid,2024-04-11,13404.64
ORD000179,Credit Card,Paid,2024-07-02,32666.71
ORD000180,Debit Card,Paid,2025-09-30,22420.76
ORD000181,Debit Card,Paid,2025-05-19,46948.29
ORD000182,Wallet,Paid,2024-09-25,15147.71
ORD000183,COD,Paid,2026-02-21,25222.03
ORD000184,Credit Card,Paid,2025-04-05,29031.01
ORD000185,Net Banking,Paid,2024-07-01,6174.51
ORD000186,Credit Card,Paid,2024-06-17,20199.26
ORD000187,Credit Card,Paid,2026-02-22,11872.99
ORD000188,Debit Card,Paid,2025-07-06,45237.06
ORD000189,Debit Card,Refunded,2024-02-28,44030.96
ORD000190,Credit Card,Paid,2025-11-24,17138.24
ORD000191,Credit Card,Paid,2025-08-28,22317.65
ORD000192,Debit Card,Paid,2025-08-20,12209.39
ORD000193,Credit Card,Paid,2025-03-15,18890.56
ORD000194,Credit Card,Paid,2024-09-07,24949.36
ORD000195,UPI,Paid,2025-12-05,37110.99
ORD000196,Debit Card,Failed,2025-07-05,46233.6
ORD000197,Net Banking,Paid,2025-06-11,3134.7
ORD000198,Credit Card,Paid,2024-11-20,23637.06
ORD000199,UPI,Paid,2025-05-16,5275.48
ORD000200,Credit Card,Paid,2026-04-10,3853.05
ORD000201,COD,Paid,2024-07-26,29440.89
ORD000202,UPI,Paid,2026-05-20,14761.07
ORD000203,Debit Card,Paid,2025-08-10,9025.73
ORD000204,Credit Card,Paid,2026-01-04,46131.4
ORD000205,UPI,Paid,2026-04-01,38803.01
ORD000206,Credit Card,Paid,2025-10-30,12421.09
ORD000207,UPI,Paid,2024-11-16,22253.61
ORD000208,UPI,Paid,2025-11-19,47743.26
ORD000209,UPI,Paid,2026-06-02,28077.67
ORD000210,Debit Card,Paid,2026-01-31,36021.26
ORD000211,Net Banking,Paid,2026-05-24,23160.91
ORD000212,UPI,Paid,2024-07-25,24782.32
ORD000213,Credit Card,Paid,2026-02-22,27223.39
ORD000214,Wallet,Paid,2026-07-22,34308.53
ORD000215,Debit Card,Paid,2024-10-20,24345.25
ORD000216,UPI,Paid,2024-04-26,10525.27
ORD000217,Credit Card,Paid,2025-04-20,27606.15
ORD000218,UPI,Paid,2024-02-07,45303.24
ORD000219,UPI,Paid,2026-04-03,13322.71
ORD000220,UPI,Paid,2026-01-10,46738.94
ORD000221,COD,Refunded,2024-11-17,33633.62
ORD000222,Wallet,Paid,2025-01-08,47002.1
ORD000223,Credit Card,Paid,2024-08-30,25661.65
ORD000224,COD,Paid,2025-11-12,22581.6
ORD000225,UPI,Paid,2026-06-25,13368.19
ORD000226,Wallet,Paid,2024-12-04,35863.7
ORD000227,UPI,Paid,2026-08-16,33052.59
ORD000228,COD,Paid,2024-10-08,43053.93
ORD000229,UPI,Paid,2025-06-30,7680.36
ORD000230,COD,Paid,2025-05-02,47569.99
ORD000231,Wallet,Paid,2025-01-06,22367.39
ORD000232,Debit Card,Paid,2026-07-15,12101.34
ORD000233,Credit Card,Paid,2025-12-09,37534.59
ORD000234,Net Banking,Paid,2025-12-19,36704.61
ORD000235,COD,Paid,2024-08-30,37048.5
ORD000236,COD,Paid,2026-07-28,20340.33
ORD000237,UPI,Paid,2024-11-01,13478.01
ORD000238,UPI,Paid,2024-11-20,44948.87
ORD000239,Credit Card,Paid,2026-03-10,22587.3
ORD000240,Wallet,Paid,2026-01-04,24255.88
ORD000241,Credit Card,Paid,2025-12-16,13390.88
ORD000242,Credit Card,Paid,2026-04-12,24665.94
ORD000243,Wallet,Paid,2024-02-23,28992.51
ORD000244,Credit Card,Paid,2025-02-14,6472.62
ORD000245,COD,Paid,2024-06-10,1403.48
ORD000246,Net Banking,Paid,2026-02-20,18774.27
ORD000247,Net Banking,Paid,2024-11-23,35704.78
ORD000248,UPI,Paid,2025-12-05,27285.23
ORD000249,COD,Paid,2024-07-05,7092.1
ORD000250,COD,Paid,2024-08-18,35177.4
ORD000251,COD,Paid,2025-10-04,21267.7
ORD000252,Debit Card,Paid,2025-12-19,45435.99
ORD000253,UPI,Paid,2024-06-02,37850.72
ORD000254,COD,Paid,2024-01-16,47474.4
ORD000255,Net Banking,Paid,2025-11-21,17877.55
ORD000256,Credit Card,Paid,2026-06-02,9176.67
ORD000257,COD,Paid,2026-05-26,37471.22
ORD000258,Credit Card,Paid,2025-11-25,1316.76
ORD000259,Credit Card,Paid,2024-10-25,41654.21
ORD000260,Credit Card,Failed,2025-08-19,36619.79
ORD000261,Net Banking,Paid,2025-12-10,3855.52
ORD000262,Debit Card,Paid,2026-01-23,18586.94
ORD000263,Credit Card,Paid,2026-08-11,25691.96
ORD000264,Credit Card,Paid,2025-11-18,45967.74
ORD000265,COD,Paid,2025-02-09,11997.22
ORD000266,Credit Card,Paid,2024-07-03,34904.24
ORD000267,Net Banking,Paid,2025-04-24,38282.47
ORD000268,COD,Paid,2024-09-23,41435.16
ORD000269,COD,Paid,2026-05-04,42557.4
ORD000270,Net Banking,Paid,2026-06-16,10566.35
ORD000271,Credit Card,Paid,2024-11-16,9579.42
ORD000272,COD,Paid,2026-02-22,18773.06
ORD000273,UPI,Paid,2025-03-27,47386.42
ORD000274,Credit Card,Paid,2025-04-27,22179.84
ORD000275,Credit Card,Paid,2026-07-06,20697.83
ORD000276,Wallet,Paid,2025-05-11,784.19
ORD000277,COD,Paid,2024-05-06,19103.86
ORD000278,Debit Card,Paid,2024-06-22,27457.96
ORD000279,UPI,Paid,2024-08-05,49146.77
ORD000280,UPI,Paid,2024-07-03,45765
ORD000281,Net Banking,Paid,2024-04-06,48023.16
ORD000282,COD,Paid,2025-02-08,10003.75
ORD000283,Wallet,Paid,2024-06-07,9588.07
ORD000284,UPI,Paid,2025-04-10,35008.86
ORD000285,Net Banking,Paid,2025-11-03,14935.7
ORD000286,COD,Refunded,2026-03-28,1787.25
ORD000287,Net Banking,Paid,2024-10-17,30665.33
ORD000288,UPI,Paid,2025-09-09,44581.06
ORD000289,Wallet,Paid,2026-02-28,36945.89
ORD000290,Net Banking,Paid,2026-03-10,641.78
ORD000291,Credit Card,Paid,2024-05-04,39572.91
ORD000292,UPI,Paid,2024-11-13,17675.76
ORD000293,Credit Card,Paid,2024-07-24,23359.04
ORD000294,Credit Card,Paid,2025-09-07,43254.8
ORD000295,UPI,Paid,2024-07-09,45507.05
ORD000296,Net Banking,Paid,2025-04-20,9640.18
ORD000297,Credit Card,Paid,2025-06-23,22920.18
ORD000298,COD,Paid,2026-04-01,7851.28
ORD000299,Credit Card,Paid,2024-11-03,48010.52
ORD000300,Credit Card,Paid,2024-03-20,9460.4
ORD000301,Credit Card,Paid,2025-04-20,23603.88
ORD000302,Net Banking,Paid,2026-02-27,3911.47
ORD000303,UPI,Paid,2026-03-17,45686.73
ORD000304,Net Banking,Paid,2025-12-23,14398.44
ORD000305,COD,Paid,2025-04-05,35799.49
ORD000306,COD,Paid,2024-08-05,45180.96
ORD000307,UPI,Paid,2025-11-20,31271.51
ORD000308,Credit Card,Paid,2024-01-15,23991.39
ORD000309,Wallet,Paid,2025-11-04,30508.48
ORD000310,UPI,Paid,2025-12-08,41284.26
ORD000311,Net Banking,Paid,2024-07-14,29787.39
ORD000312,UPI,Paid,2024-01-28,17082.97
ORD000313,Credit Card,Paid,2026-05-13,46690.18
ORD000314,UPI,Paid,2025-05-01,16836.5
ORD000315,Credit Card,Paid,2025-12-21,9444.22
ORD000316,Debit Card,Paid,2025-08-23,14616.17
ORD000317,Debit Card,Paid,2024-02-22,27829.71
ORD000318,Debit Card,Paid,2025-03-01,47232.74
ORD000319,Credit Card,Paid,2024-10-25,48718.61
ORD000320,UPI,Failed,2025-09-19,45721.21
ORD000321,UPI,Paid,2025-08-13,44443.45
ORD000322,Debit Card,Paid,2026-06-29,40484.63
ORD000323,Credit Card,Paid,2025-04-05,5545.94
ORD000324,UPI,Paid,2024-12-18,34468.37
ORD000325,Credit Card,Paid,2024-12-13,34878.95
ORD000326,Wallet,Paid,2025-03-02,13539.32
ORD000327,Net Banking,Paid,2025-09-28,34446.44
ORD000328,Debit Card,Paid,2024-05-13,10778.24
ORD000329,UPI,Paid,2025-03-01,1561.37
ORD000330,Credit Card,Paid,2024-01-19,37501.54
ORD000331,UPI,Paid,2026-04-27,15767.81
ORD000332,UPI,Paid,2025-09-24,39018.86
ORD000333,Net Banking,Paid,2024-12-14,8509.41
ORD000334,COD,Paid,2026-07-07,10465.67
ORD000335,Credit Card,Paid,2024-04-17,29820.94
ORD000336,Wallet,Paid,2026-05-11,30498.84
ORD000337,UPI,Paid,2026-05-28,23983.2
ORD000338,COD,Paid,2025-10-08,27191.77
ORD000339,Credit Card,Paid,2024-10-26,971.75
ORD000340,UPI,Paid,2024-06-06,42911.3
ORD000341,UPI,Paid,2025-03-25,41932.77
ORD000342,UPI,Paid,2025-05-01,5677.09
ORD000343,Debit Card,Paid,2026-01-02,26648.63
ORD000344,UPI,Failed,2026-02-10,43965
ORD000345,COD,Paid,2025-02-28,26524.82
ORD000346,Credit Card,Refunded,2025-11-29,32948.36
ORD000347,UPI,Paid,2026-01-05,33999
ORD000348,Credit Card,Paid,2026-03-02,12213.02
ORD000349,UPI,Paid,2026-08-03,39684.37
ORD000350,Credit Card,Paid,2025-12-31,7816.83
ORD000351,Net Banking,Paid,2025-12-19,33478.06
ORD000352,COD,Paid,2024-12-18,14757.65
ORD000353,UPI,Paid,2024-05-31,20658.83
ORD000354,COD,Paid,2026-03-19,26550.09
ORD000355,UPI,Paid,2025-02-18,47079.89
ORD000356,Debit Card,Paid,2025-02-04,32346.08
ORD000357,Credit Card,Paid,2025-06-07,48189.41
ORD000358,Debit Card,Paid,2024-01-24,40512.84
ORD000359,COD,Paid,2026-05-02,26059.39
ORD000360,Credit Card,Paid,2024-03-03,31819.17
ORD000361,Debit Card,Paid,2026-02-14,23499.93
ORD000362,COD,Paid,2024-12-13,22609.73
ORD000363,UPI,Paid,2026-07-05,8302.15
ORD000364,Net Banking,Paid,2025-11-13,20035.57
ORD000365,Debit Card,Paid,2024-09-10,10940.04
ORD000366,Net Banking,Paid,2025-01-05,44841.04
ORD000367,COD,Refunded,2024-03-25,39800.6
ORD000368,Credit Card,Paid,2025-04-01,3554.04
ORD000369,Debit Card,Paid,2025-06-16,13885.03
ORD000370,Credit Card,Paid,2025-03-27,29579.11
ORD000371,Credit Card,Paid,2025-06-02,3214.75
ORD000372,UPI,Paid,2025-06-10,33697.8
ORD000373,Credit Card,Paid,2026-02-04,17907.55
ORD000374,Credit Card,Paid,2025-09-08,1641.29
ORD000375,Credit Card,Paid,2025-06-19,15950.7
ORD000376,UPI,Refunded,2024-10-29,3371.88
ORD000377,Credit Card,Paid,2025-03-08,30649.53
ORD000378,Debit Card,Paid,2024-07-06,23098.8
ORD000379,Credit Card,Paid,2024-02-15,12646.52
ORD000380,Net Banking,Paid,2024-12-11,17227.82
ORD000381,Credit Card,Paid,2026-02-19,49147.57
ORD000382,Credit Card,Paid,2025-04-05,27047.36
ORD000383,COD,Paid,2025-11-11,40625.91
ORD000384,Debit Card,Paid,2024-02-17,1912.37
ORD000385,Wallet,Paid,2025-12-26,33632.25
ORD000386,UPI,Paid,2025-07-28,23639.36
ORD000387,COD,Paid,2025-07-08,38726.08
ORD000388,UPI,Paid,2026-02-08,20370.18
ORD000389,UPI,Paid,2025-06-28,30604.64
ORD000390,Wallet,Paid,2026-04-29,45241.81
ORD000391,COD,Paid,2025-02-16,18128.1
ORD000392,Credit Card,Paid,2024-07-03,43880.21
ORD000393,Debit Card,Paid,2024-04-03,17493.19
ORD000394,UPI,Paid,2024-07-07,38885.8
ORD000395,COD,Failed,2025-11-26,5715.66
ORD000396,UPI,Paid,2025-12-31,18589.85
ORD000397,COD,Paid,2026-07-03,10539.65
ORD000398,Debit Card,Refunded,2024-02-23,10615.21
ORD000399,UPI,Refunded,2025-06-04,14351.98
ORD000400,Credit Card,Paid,2025-04-21,19620.92
ORD000401,COD,Failed,2024-08-27,24999.29
ORD000402,UPI,Paid,2024-09-09,15111.27
ORD000403,Credit Card,Paid,2025-04-02,14969.06
ORD000404,UPI,Paid,2024-05-26,42403.59
ORD000405,UPI,Paid,2025-03-10,20882.47
ORD000406,UPI,Paid,2026-04-30,31681.9
ORD000407,UPI,Paid,2026-08-01,43945.35
ORD000408,Credit Card,Paid,2024-12-26,41617.4
ORD000409,Credit Card,Paid,2026-01-27,26142.67
ORD000410,COD,Paid,2024-05-05,24431.6
ORD000411,Credit Card,Paid,2024-08-04,21972.01
ORD000412,Net Banking,Paid,2024-12-17,36639.46
ORD000413,Credit Card,Paid,2025-11-09,24694.94
ORD000414,UPI,Paid,2024-01-17,10825.51
ORD000415,Credit Card,Paid,2026-07-13,33676.88
ORD000416,Debit Card,Paid,2025-12-21,9672.27
ORD000417,COD,Refunded,2025-10-27,23084.79
ORD000418,Wallet,Paid,2025-03-31,44942.42
ORD000419,Net Banking,Paid,2025-01-01,22574.3
ORD000420,COD,Paid,2024-01-09,5978.83
ORD000421,Net Banking,Paid,2024-08-14,7449.03
ORD000422,Debit Card,Paid,2024-07-16,45422.91
ORD000423,COD,Refunded,2024-08-14,14420.83
ORD000424,COD,Paid,2025-05-19,27874.46
ORD000425,Credit Card,Paid,2024-04-23,16036.68
ORD000426,Debit Card,Paid,2025-11-07,14351.22
ORD000427,UPI,Paid,2025-08-26,46053.35
ORD000428,Net Banking,Paid,2026-05-26,36424.68
ORD000429,Net Banking,Paid,2026-05-18,42746.26
ORD000430,UPI,Paid,2024-09-15,47539.16
ORD000431,Credit Card,Paid,2025-11-20,5321.45
ORD000432,Credit Card,Paid,2025-02-21,23487
ORD000433,UPI,Paid,2025-06-13,33891.6
ORD000434,UPI,Paid,2025-03-06,49379.13
ORD000435,COD,Paid,2024-03-24,40237.57
ORD000436,COD,Paid,2025-12-08,25918.28
ORD000437,Debit Card,Paid,2024-12-04,33502.15
ORD000438,Debit Card,Paid,2025-03-18,47655.53
ORD000439,UPI,Paid,2024-09-14,17436.07
ORD000440,UPI,Paid,2024-02-25,14021.49
ORD000441,Debit Card,Paid,2025-09-07,19403.61
ORD000442,Credit Card,Paid,2024-03-28,7911.61
ORD000443,UPI,Paid,2025-12-11,47806.68
ORD000444,Credit Card,Paid,2024-02-27,36810.72
ORD000445,Wallet,Refunded,2024-02-28,22676.73
ORD000446,Debit Card,Paid,2025-09-25,4789.67
ORD000447,Wallet,Failed,2024-01-11,30339.75
ORD000448,COD,Paid,2025-09-27,17470.28
ORD000449,UPI,Paid,2025-04-10,4323.63
ORD000450,Wallet,Paid,2025-09-02,6508.49
ORD000451,Credit Card,Paid,2024-05-09,7522.08
ORD000452,Wallet,Paid,2025-03-31,26430.75
ORD000453,COD,Paid,2024-11-16,12177
ORD000454,Net Banking,Paid,2024-11-14,15913.73
ORD000455,COD,Paid,2024-11-13,48185.83
ORD000456,Credit Card,Paid,2025-11-04,20317.23
ORD000457,UPI,Paid,2026-05-29,22023.42
ORD000458,Credit Card,Paid,2026-07-19,18272.2
ORD000459,Credit Card,Paid,2025-12-12,41596.12
ORD000460,UPI,Paid,2024-12-10,18315.49
ORD000461,COD,Paid,2026-03-20,31338.2
ORD000462,UPI,Paid,2025-12-11,9198.29
ORD000463,Credit Card,Paid,2026-02-25,32337.3
ORD000464,UPI,Paid,2026-04-25,17036.89
ORD000465,UPI,Paid,2024-04-28,49326.79
ORD000466,UPI,Paid,2026-02-23,42299.03
ORD000467,Net Banking,Paid,2024-06-27,48213.01
ORD000468,UPI,Paid,2025-07-21,19079.6
ORD000469,Debit Card,Paid,2026-07-22,2685.1
ORD000470,UPI,Paid,2026-03-18,39361.93
ORD000471,COD,Paid,2025-01-13,38427.79
ORD000472,UPI,Paid,2025-10-01,1568.79
ORD000473,UPI,Paid,2026-08-05,44008.85
ORD000474,COD,Paid,2025-01-18,26985.44
ORD000475,Credit Card,Paid,2024-02-17,27717.36
ORD000476,Credit Card,Paid,2024-09-11,2445.85
ORD000477,UPI,Paid,2025-06-04,11443.62
ORD000478,Credit Card,Paid,2025-04-26,31141.11
ORD000479,Credit Card,Paid,2026-02-08,48419.38
ORD000480,Credit Card,Paid,2025-12-30,15460.9
ORD000481,Debit Card,Paid,2025-04-30,41758.96
ORD000482,COD,Paid,2025-10-27,17678
ORD000483,Credit Card,Paid,2024-08-28,44455.74
ORD000484,UPI,Paid,2024-06-09,23977.81
ORD000485,UPI,Paid,2024-10-29,46876.6
ORD000486,Credit Card,Paid,2025-06-09,27158.52
ORD000487,Credit Card,Paid,2026-04-04,27528.66
ORD000488,Credit Card,Paid,2024-08-27,34541.54
ORD000489,Debit Card,Paid,2026-05-12,45932.52
ORD000490,UPI,Paid,2026-08-07,47134.64
ORD000491,Credit Card,Paid,2024-07-25,21320
ORD000492,Debit Card,Paid,2026-04-16,1078.49
ORD000493,UPI,Paid,2026-05-26,12179.77
ORD000494,Credit Card,Paid,2026-04-22,26369.87
ORD000495,Credit Card,Paid,2025-08-16,24298.52
ORD000496,Net Banking,Paid,2024-06-01,37148.37
ORD000497,Debit Card,Paid,2024-08-28,25693.22
ORD000498,UPI,Paid,2026-04-14,12783.62
ORD000499,Credit Card,Paid,2025-03-16,25307.88
ORD000500,UPI,Paid,2025-01-18,6964.22
ORD000501,Wallet,Paid,2024-01-11,1024.75
ORD000502,Credit Card,Paid,2025-03-05,12371.78
ORD000503,UPI,Paid,2025-07-05,15390.23
ORD000504,COD,Paid,2026-08-03,45890.54
ORD000505,COD,Paid,2025-10-07,47321.37
ORD000506,UPI,Paid,2025-02-05,23716.91
ORD000507,Credit Card,Paid,2025-08-07,43504.28
ORD000508,Wallet,Refunded,2025-11-23,5127.66
ORD000509,COD,Paid,2024-01-28,47420.98
ORD000510,Credit Card,Paid,2024-07-30,24198.15
ORD000511,Credit Card,Paid,2025-01-12,41640.17
ORD000512,UPI,Paid,2025-02-05,14077.93
ORD000513,COD,Paid,2026-01-30,29549.73
ORD000514,Wallet,Paid,2026-06-10,2959.98
ORD000515,Debit Card,Paid,2024-06-11,41184.02
ORD000516,UPI,Paid,2025-12-02,26349.44
ORD000517,UPI,Paid,2024-03-06,32779.67
ORD000518,Debit Card,Paid,2025-08-06,7526.79
