order_id,return_date,return_reason,refund_amount
ORD000891,2025-01-30,Wrong Item,37411.23
ORD000911,2025-01-22,Damaged Product,12356.66
ORD000918,2024-08-21,Damaged Product,23211.37
ORD000980,2026-05-24,Wrong Item,22855.89
ORD000982,2025-12-09,Wrong Item,21887.46
ORD000989,2026-08-13,Wrong Item,8145.44
ORD000997,2025-03-16,Damaged Product,41847.48
ORD001002,2026-05-20,Size/Fit Issue,13752.21
ORD001015,2025-05-11,Quality Issue,4468.8
ORD001019,2025-11-08,Damaged Product,41693.27
ORD001036,2025-07-05,Late Delivery,20739.1
ORD001078,2024-03-01,Damaged Product,9667.82
ORD001082,2026-04-11,Late Delivery,32286.76
ORD001113,2024-11-23,Damaged Product,1063.85
ORD001125,2026-04-30,Damaged Product,47532.55
ORD001134,2024-06-13,Wrong Item,17111.09
ORD001168,2024-06-24,Quality Issue,32246.41
ORD001169,2025-09-24,Size/Fit Issue,7641.85
ORD001183,2024-11-14,Damaged Product,26032.22
ORD001190,2024-04-06,Damaged Product,7958.7
ORD001207,2025-03-16,Late Delivery,43556.99
ORD001212,2026-01-31,Damaged Product,20849.29
ORD001240,2025-11-28,Size/Fit Issue,34017.87
ORD001246,2025-04-30,Size/Fit Issue,29525.46
ORD001252,2024-08-31,Damaged Product,39901.53
ORD001278,2026-02-28,Quality Issue,1522.11
ORD001307,2025-10-25,Changed Mind,33360.11
ORD001314,2024-05-20,Late Delivery,29035.89
ORD001320,2024-09-30,Changed Mind,27521.81
ORD001328,2026-06-20,Quality Issue,11371.78
ORD001336,2025-10-04,Damaged Product,20256.33
ORD001343,2025-04-24,Changed Mind,39797.86
ORD001386,2024-07-07,Damaged Product,9216.62
ORD001388,2025-08-12,Quality Issue,19478.15
ORD001389,2026-09-01,Damaged Product,3232.58
ORD001397,2025-09-15,Late Delivery,19387.45
ORD001400,2025-03-20,Damaged Product,44446.7
ORD001438,2024-08-16,Changed Mind,4553.57
ORD001440,2024-05-08,Wrong Item,1328.88
ORD001469,2026-08-02,Damaged Product,9520.22
ORD001479,2025-01-09,Damaged Product,16857.22
ORD001486,2026-08-26,Late Delivery,2045.64
ORD001487,2026-09-12,Size/Fit Issue,3872.62
ORD001488,2026-07-12,Size/Fit Issue,47531.36
ORD001491,2026-04-28,Late Delivery,786.03
ORD001493,2024-07-29,Late Delivery,15568.62
ORD001533,2024-10-27,Damaged Product,7599.31
ORD001539,2024-09-30,Late Delivery,30466.98
ORD001545,2025-10-12,Size/Fit Issue,12924.9
ORD001565,2026-07-29,Quality Issue,10952.6
ORD001575,2026-04-07,Damaged Product,32421.13
ORD001582,2026-03-04,Damaged Product,43981.71
ORD001613,2025-07-05,Wrong Item,26247.84
ORD001626,2025-02-20,Damaged Product,41707.14
ORD001627,2025-03-13,Damaged Product,27031.13
ORD001634,2024-06-26,Quality Issue,15091.01
ORD001659,2025-04-22,Changed Mind,41031.27
ORD001664,2026-04-02,Damaged Product,22443.11
ORD001678,2024-07-25,Wrong Item,9505.43
ORD001699,2025-11-25,Size/Fit Issue,3866.91
ORD001712,2025-07-06,Wrong Item,610.33
ORD001716,2025-10-14,Quality Issue,25733.84
ORD001738,2024-02-26,Size/Fit Issue,27262.45
ORD001747,2024-05-07,Size/Fit Issue,17371.5
ORD001753,2026-05-03,Damaged Product,43525.34
ORD001757,2024-02-18,Changed Mind,3764.05
ORD001762,2026-08-15,Damaged Product,15102.61
ORD001768,2024-02-01,Damaged Product,2089.61
ORD001776,2025-03-07,Wrong Item,5396.55
ORD001790,2026-07-20,Size/Fit Issue,29199.05
ORD001795,2024-03-27,Late Delivery,35619.17
ORD001801,2026-06-27,Changed Mind,36542.08
ORD001859,2025-06-19,Changed Mind,43691.46
ORD001868,2024-07-02,Changed Mind,23502.33
ORD001928,2026-05-06,Wrong Item,10741.61
ORD001937,2026-09-03,Changed Mind,7500.44
ORD001939,2025-08-05,Damaged Product,1954.52
ORD001968,2025-02-18,Size/Fit Issue,5972.97
ORD001971,2026-06-13,Quality Issue,20131.03
ORD001973,2026-07-14,Late Delivery,36804.77
ORD001978,2025-06-11,Late Delivery,20723.48
ORD001981,2024-11-06,Size/Fit Issue,26357.92
ORD002016,2024-02-15,Late Delivery,6021.62
ORD002026,2025-11-13,Damaged Product,15060.54
ORD002037,2024-08-03,Late Delivery,37023.94
ORD002041,2025-08-24,Changed Mind,32267.98
ORD002071,2026-06-24,Changed Mind,28465.64
ORD002074,2024-09-23,Size/Fit Issue,4598.89
ORD002078,2025-11-11,Changed Mind,18080.61
ORD002097,2026-07-19,Changed Mind,1481.11
ORD002106,2026-02-23,Size/Fit Issue,29150.12
ORD002124,2026-05-30,Damaged Product,27769.22
ORD002136,2026-06-30,Size/Fit Issue,17000.12
ORD002141,2026-03-25,Wrong Item,22261.49
ORD002154,2024-04-02,Late Delivery,14277.98
ORD002160,2026-01-06,Quality Issue,10207.68
ORD002169,2026-02-11,Quality Issue,38875.12
ORD002227,2025-06-04,Wrong Item,6228.64
ORD002230,2025-04-20,Changed Mind,7344.5
ORD002262,2026-08-01,Wrong Item,32056.41
ORD002263,2025-12-25,Damaged Product,4420.72
ORD002270,2025-09-29,Late Delivery,4630.43
ORD002291,2024-02-03,Wrong Item,31381.45
ORD002316,2024-03-30,Quality Issue,21086.84
ORD002341,2025-04-16,Late Delivery,12083.09
ORD002343,2025-08-06,Wrong Item,39906.4
ORD002355,2026-01-03,Damaged Product,21244.03
ORD002390,2025-04-14,Late Delivery,26474.04
ORD002393,2026-02-04,Quality Issue,38239.05
ORD002413,2024-03-27,Quality Issue,44852.38
ORD002419,2025-09-29,Size/Fit Issue,11628.13
ORD002426,2025-11-21,Late Delivery,2603.07
ORD002428,2024-10-17,Quality Issue,23177.73
ORD002438,2025-09-08,Size/Fit Issue,1164.53
ORD002445,2025-12-13,Late Delivery,10933.84
ORD002458,2024-06-15,Quality Issue,26091.37
ORD002471,2024-10-23,Wrong Item,46714.49
ORD002490,2024-03-28,Wrong Item,18540.09
ORD002495,2025-12-12,Late Delivery,2333.14
ORD002523,2025-07-07,Size/Fit Issue,13692.68
ORD002531,2026-06-26,Damaged Product,10173.94
ORD002546,2024-08-03,Damaged Product,30960.89
ORD002561,2024-09-13,Changed Mind,3451.08
ORD002564,2024-09-12,Wrong Item,13602.33
ORD002595,2024-04-19,Quality Issue,13869.13
ORD002599,2025-04-21,Quality Issue,41256.72
ORD002603,2024-10-30,Late Delivery,1138.76
ORD002604,2025-04-11,Late Delivery,17606.98
ORD002617,2024-04-11,Quality Issue,30359
ORD002630,2025-05-05,Size/Fit Issue,4433.37
ORD002640,2026-08-18,Size/Fit Issue,9789.31
ORD002657,2024-11-28,Changed Mind,31054.58
ORD002664,2025-02-18,Quality Issue,42492.01
ORD002672,2024-02-20,Late Delivery,5715.62
ORD002689,2024-05-23,Damaged Product,22097.45
ORD002712,2024-11-05,Late Delivery,3201.15
ORD002715,2026-02-12,Quality Issue,41982.96
ORD002717,2026-02-06,Late Delivery,25531.65
ORD002736,2025-11-11,Wrong Item,32927.63
ORD002743,2025-12-06,Wrong Item,5335.38
ORD002760,2025-07-10,Quality Issue,18706.41
ORD002765,2025-01-17,Size/Fit Issue,21202.85
ORD002767,2025-09-09,Changed Mind,35468.28
ORD002782,2024-03-04,Damaged Product,12148.89
ORD002801,2024-06-11,Changed Mind,36229.18
ORD002808,2024-01-21,Changed Mind,11413.43
ORD002811,2025-01-30,Late Delivery,8489.04
ORD002827,2024-01-20,Quality Issue,28952.79
ORD002834,2024-02-07,Changed Mind,11852.94
ORD002841,2026-03-07,Wrong Item,41516.3
ORD002878,2026-04-22,Damaged Product,2737.01
ORD002880,2025-02-21,Quality Issue,15372.79
ORD002894,2024-12-29,Damaged Product,36134.98
ORD002937,2025-02-24,Quality Issue,18114.03
ORD002982,2025-06-09,Wrong Item,42869.38
ORD002984,2025-08-05,Damaged Product,20909.06
ORD002988,2026-06-13,Quality Issue,17403.25
ORD003010,2026-01-23,Quality Issue,13462.92
ORD003081,2026-01-13,Changed Mind,44833.95
ORD003110,2025-10-06,Quality Issue,40210.75
ORD003120,2024-02-12,Quality Issue,45270.37
ORD003152,2026-01-29,Damaged Product,16081.31
ORD003158,2025-02-22,Damaged Product,5022.09
ORD003175,2026-03-04,Wrong Item,18623.45
ORD003180,2026-05-07,Changed Mind,34923.05
ORD003187,2025-06-13,Wrong Item,18203.97
ORD003192,2025-03-06,Changed Mind,32608.14
ORD003195,2024-10-13,Wrong Item,39359.46
ORD003203,2025-06-26,Damaged Product,5631.03
ORD003206,2026-05-08,Changed Mind,36212.61
ORD003209,2024-11-15,Changed Mind,38873.45
ORD003216,2024-06-08,Wrong Item,25303.09
ORD003227,2025-01-11,Quality Issue,8333.53
ORD003240,2026-07-30,Wrong Item,45578.32
ORD003249,2025-02-04,Damaged Product,44993.95
ORD003268,2024-01-29,Late Delivery,39662.78
ORD003276,2024-02-25,Wrong Item,29973.14
ORD003280,2025-10-18,Wrong Item,27526.47
ORD003297,2026-05-04,Wrong Item,31309.41
ORD003301,2026-05-31,Wrong Item,32004.9
ORD003304,2024-08-15,Quality Issue,26753.94
ORD003323,2024-11-11,Changed Mind,37502.5
ORD003333,2025-04-17,Quality Issue,24625.21
ORD003335,2026-07-13,Damaged Product,9083.75
ORD003344,2026-07-20,Size/Fit Issue,39833.6
ORD003356,2025-08-21,Damaged Product,22573.47
ORD003367,2024-06-16,Changed Mind,35773.56
ORD003370,2026-07-04,Size/Fit Issue,21290.31
ORD003394,2024-01-31,Wrong Item,6672.38
ORD003450,2024-10-26,Size/Fit Issue,32022.08
ORD003466,2025-04-02,Late Delivery,23943.52
ORD003472,2025-03-01,Size/Fit Issue,7400.98
ORD003498,2024-03-27,Damaged Product,9527.89
ORD003500,2024-07-18,Late Delivery,35264.05
ORD003508,2024-05-15,Late Delivery,14585.68
ORD003519,2025-11-05,Wrong Item,34254.33
ORD003525,2026-05-19,Damaged Product,23522.25
ORD003528,2024-04-14,Late Delivery,5488.67
ORD003548,2025-04-21,Size/Fit Issue,40486.54
ORD003576,2025-02-26,Late Delivery,12806.44
ORD003595,2026-03-16,Wrong Item,45998.02
ORD003598,2025-01-01,Damaged Product,13013.14
ORD003645,2024-02-23,Changed Mind,12302.86
ORD003659,2024-03-26,Late Delivery,4213.39
ORD003704,2025-12-30,Wrong Item,7023.32
ORD003705,2025-10-29,Wrong Item,42105.07
ORD003707,2025-05-25,Quality Issue,16762.37
ORD003713,2024-11-06,Size/Fit Issue,12680.07
ORD003734,2024-10-21,Wrong Item,20038.06
ORD003744,2025-04-29,Damaged Product,33260.87
ORD003763,2025-07-17,Changed Mind,5473.99
ORD003811,2024-04-07,Changed Mind,17244.62
ORD003812,2025-11-11,Changed Mind,25920.95
ORD003842,2025-03-05,Wrong Item,29940.72
ORD003846,2025-04-12,Damaged Product,27269.77
ORD003847,2025-03-14,Damaged Product,2474.06
ORD003862,2024-11-12,Changed Mind,39060.31
ORD003892,2024-02-12,Late Delivery,15910.87
ORD003931,2025-08-27,Damaged Product,26815.67
ORD003949,2025-03-26,Damaged Product,16869.48
ORD003950,2026-07-23,Size/Fit Issue,33286.83
ORD003970,2025-06-05,Wrong Item,7027.81
ORD003999,2024-02-07,Size/Fit Issue,32218.87
ORD004076,2026-06-08,Quality Issue,23163.75
ORD004088,2024-11-16,Damaged Product,9764.49
ORD004120,2026-07-11,Size/Fit Issue,9897.28
ORD004181,2024-06-12,Late Delivery,15895.73
ORD004201,2024-05-31,Damaged Product,6696.65
ORD004221,2025-05-23,Late Delivery,24981.36
ORD004226,2025-05-24,Late Delivery,1212.01
ORD004228,2025-07-12,Late Delivery,13096.64
ORD004244,2025-11-07,Late Delivery,3468.67
ORD004262,2024-03-13,Changed Mind,32362.08
ORD004330,2025-12-04,Wrong Item,45851.1
ORD004355,2024-02-16,Size/Fit Issue,36517.3
ORD004360,2024-07-14,Late Delivery,2623.48
ORD004374,2025-12-18,Quality Issue,9898.32
ORD004375,2024-08-03,Damaged Product,11353.59
ORD004380,2026-06-30,Late Delivery,842.09
ORD004383,2025-12-19,Quality Issue,31662.13
ORD004390,2026-05-05,Late Delivery,10458.53
ORD004391,2024-08-25,Damaged Product,23612.72
ORD004406,2024-08-17,Size/Fit Issue,40979.81
ORD004409,2024-06-01,Changed Mind,973.4
ORD004424,2025-09-30,Wrong Item,800.78
ORD004445,2026-04-02,Size/Fit Issue,5305.92
ORD004464,2026-06-16,Wrong Item,23577.25
ORD004474,2024-08-18,Late Delivery,10777.83
ORD004489,2024-10-26,Wrong Item,15146.45
ORD004527,2025-06-17,Late Delivery,16004.42
ORD004537,2026-01-08,Wrong Item,24055.04
ORD004575,2026-01-22,Wrong Item,23148.72
ORD004579,2025-02-14,Quality Issue,16928.88
ORD004580,2025-10-04,Quality Issue,12225.5
ORD004587,2026-03-04,Damaged Product,19527.46
ORD004589,2024-10-09,Late Delivery,4727.19
ORD004632,2024-06-11,Changed Mind,19067.66
ORD004636,2024-06-28,Quality Issue,11086.69
ORD004648,2025-11-15,Damaged Product,20705.2
ORD004680,2025-03-14,Late Delivery,32700.64
ORD004689,2026-03-07,Changed Mind,26057.76
ORD004711,2025-06-26,Size/Fit Issue,7569.55
ORD004760,2025-03-30,Changed Mind,25647.62
ORD004764,2026-05-09,Damaged Product,24806.92
ORD004772,2026-08-16,Changed Mind,903.26
ORD004792,2024-06-08,Damaged Product,13386
ORD004797,2025-05-26,Quality Issue,27410.93
ORD004821,2024-02-21,Damaged Product,35797.2
ORD004829,2026-04-21,Damaged Product,39995.33
ORD004838,2025-10-07,Damaged Product,20900.44
ORD004843,2024-05-15,Size/Fit Issue,5935.89
ORD004875,2024-04-27,Late Delivery,39471.5
ORD004879,2024-04-24,Damaged Product,20388.95
ORD004884,2024-12-02,Damaged Product,34983.95
ORD004889,2024-11-25,Wrong Item,46281.33
ORD004944,2026-02-09,Damaged Product,35043.75
ORD004960,2024-01-14,Late Delivery,45635.46
ORD004967,2024-05-09,Changed Mind,22380.59
ORD004976,2024-10-18,Wrong Item,43515.79
ORD004990,2026-07-25,Size/Fit Issue,27631.74
ORD004993,2025-09-14,Size/Fit Issue,510.18
