product_id,product_name,category,subcategory,unit_cost,list_price,product_tier
PROD0133,Furniture Product 0133,Office,Furniture,7732.8,12826.23,Standard
PROD0134,Sportswear Product 0134,Sports,Sportswear,16693.73,25350.66,Standard
PROD0135,Printers Product 0135,Office,Printers,8905.68,11202.85,Standard
PROD0136,Furniture Product 0136,Office,Furniture,17628.3,20289.27,Premium
PROD0137,Stationery Product 0137,Office,Stationery,13295.43,16943.68,Standard
PROD0138,Accessories Product 0138,Fashion,Accessories,895.22,1217.31,Value
PROD0139,Appliances Product 0139,Home & Kitchen,Appliances,11559.88,18079.77,Standard
PROD0140,Accessories Product 0140,Electronics,Accessories,5461.09,8082.39,Value
PROD0141,Accessories Product 0141,Electronics,Accessories,6197.2,9820.32,Standard
PROD0142,Laptops Product 0142,Electronics,Laptops,3556.76,5869.7,Value
PROD0143,Accessories Product 0143,Fashion,Accessories,14366.8,22087.39,Standard
PROD0144,Printers Product 0144,Office,Printers,16065.69,23651.6,Standard
PROD0145,Men Product 0145,Fashion,Men,15045.09,20004.05,Standard
PROD0146,Skincare Product 0146,Beauty,Skincare,3812.06,5951.75,Value
PROD0147,Skincare Product 0147,Beauty,Skincare,17455.47,23011.13,Premium
PROD0148,Women Product 0148,Fashion,Women,10311.99,14269.11,Standard
PROD0149,Makeup Product 0149,Beauty,Makeup,12800.33,16805.53,Premium
PROD0150,Decor Product 0150,Home & Kitchen,Decor,8178.16,14070,Standard
PROD0151,Haircare Product 0151,Beauty,Haircare,2091.18,3389.73,Value
PROD0152,Audio Product 0152,Electronics,Audio,9147.42,14904.94,Value
PROD0153,Cookware Product 0153,Home & Kitchen,Cookware,6174.88,8892.34,Value
PROD0154,Makeup Product 0154,Beauty,Makeup,2647.85,4430.06,Value
PROD0155,Outdoor Product 0155,Sports,Outdoor,3756.95,4402.89,Standard
PROD0156,Fitness Product 0156,Sports,Fitness,153.65,262.65,Standard
PROD0157,Fitness Product 0157,Sports,Fitness,6052.55,10189.54,Premium
PROD0158,Furniture Product 0158,Office,Furniture,482.85,775.02,Standard
PROD0159,Decor Product 0159,Home & Kitchen,Decor,3673.95,4856.74,Standard
PROD0160,Men Product 0160,Fashion,Men,4965.96,6180.13,Premium
PROD0161,Fitness Product 0161,Sports,Fitness,3781.87,5144.07,Standard
PROD0162,Decor Product 0162,Home & Kitchen,Decor,10367.57,12988.13,Standard
PROD0163,Personal Care Product 0163,Beauty,Personal Care,989.01,1154.57,Value
PROD0164,Smartphones Product 0164,Electronics,Smartphones,6954.11,8356.56,Standard
PROD0165,Printers Product 0165,Office,Printers,11124.37,14878.45,Value
PROD0166,Stationery Product 0166,Office,Stationery,17528.38,28105.81,Standard
PROD0167,Appliances Product 0167,Home & Kitchen,Appliances,14646.29,24925.25,Standard
PROD0168,Footwear Product 0168,Fashion,Footwear,12345.85,19458.66,Standard
PROD0169,Cookware Product 0169,Home & Kitchen,Cookware,2655.49,4480.93,Standard
PROD0170,Personal Care Product 0170,Beauty,Personal Care,3365.69,5722.88,Standard
PROD0171,Personal Care Product 0171,Beauty,Personal Care,8816.12,10484.3,Premium
PROD0172,Accessories Product 0172,Fashion,Accessories,15236.13,20101.86,Standard
PROD0173,Outdoor Product 0173,Sports,Outdoor,9182.46,12794.95,Standard
PROD0174,Accessories Product 0174,Electronics,Accessories,10046.21,11980.65,Standard
PROD0175,Accessories Product 0175,Fashion,Accessories,10662.4,13788.03,Standard
PROD0176,Storage Product 0176,Home & Kitchen,Storage,6957.99,9424.1,Value
PROD0177,Equipment Product 0177,Sports,Equipment,14134.91,19947.36,Value
PROD0178,Outdoor Product 0178,Sports,Outdoor,3181.69,4937.23,Standard
PROD0179,Printers Product 0179,Office,Printers,2128.67,3209.28,Standard
PROD0180,Audio Product 0180,Electronics,Audio,3237.04,5579.14,Premium
PROD0181,Audio Product 0181,Electronics,Audio,5947.16,9140.75,Premium
PROD0182,Cookware Product 0182,Home & Kitchen,Cookware,15979.73,27036.96,Standard
PROD0183,Laptops Product 0183,Electronics,Laptops,11922.99,16951.92,Standard
PROD0184,Equipment Product 0184,Sports,Equipment,3586.35,5590.8,Standard
PROD0185,Sportswear Product 0185,Sports,Sportswear,16539.55,28315.81,Standard
PROD0186,Skincare Product 0186,Beauty,Skincare,10522.47,15961.48,Standard
PROD0187,Decor Product 0187,Home & Kitchen,Decor,1198.4,2026.07,Value
PROD0188,Accessories Product 0188,Electronics,Accessories,2045.79,2699.06,Premium
PROD0189,Accessories Product 0189,Fashion,Accessories,11283.84,17795.34,Standard
PROD0190,Women Product 0190,Fashion,Women,11951.78,17149.88,Premium
PROD0191,Footwear Product 0191,Fashion,Footwear,15132.13,18802.59,Value
PROD0192,Supplies Product 0192,Office,Supplies,2486.25,2966.21,Premium
PROD0193,Printers Product 0193,Office,Printers,11870.05,20594.36,Premium
PROD0194,Storage Product 0194,Home & Kitchen,Storage,15493.94,26125.1,Standard
PROD0195,Women Product 0195,Fashion,Women,8222.75,11548.65,Value
PROD0196,Footwear Product 0196,Fashion,Footwear,4125.28,5795.45,Premium
PROD0197,Women Product 0197,Fashion,Women,12841.37,16842.1,Value
PROD0198,Sportswear Product 0198,Sports,Sportswear,679.64,797.03,Standard
PROD0199,Skincare Product 0199,Beauty,Skincare,10478.42,18096.68,Premium
PROD0200,Furniture Product 0200,Office,Furniture,8411.66,10068.26,Value
PROD0201,Laptops Product 0201,Electronics,Laptops,8546.33,13631.5,Value
PROD0202,Accessories Product 0202,Electronics,Accessories,11065.66,18724.77,Standard
PROD0203,Audio Product 0203,Electronics,Audio,8216.3,13915.4,Standard
PROD0204,Personal Care Product 0204,Beauty,Personal Care,6404.23,11121.95,Standard
PROD0205,Appliances Product 0205,Home & Kitchen,Appliances,12535.32,18910.56,Standard
PROD0206,Sportswear Product 0206,Sports,Sportswear,1180.61,1692.87,Premium
PROD0207,Accessories Product 0207,Electronics,Accessories,14575.41,22221.53,Standard
PROD0208,Laptops Product 0208,Electronics,Laptops,9140.28,15180.79,Standard
PROD0209,Decor Product 0209,Home & Kitchen,Decor,5011.89,6536.37,Standard
PROD0210,Outdoor Product 0210,Sports,Outdoor,16389.56,26114.8,Standard
PROD0211,Haircare Product 0211,Beauty,Haircare,4761.65,7478,Standard
PROD0212,Fitness Product 0212,Sports,Fitness,6223.84,7472.6,Premium
PROD0213,Storage Product 0213,Home & Kitchen,Storage,13569.48,18966.99,Standard
PROD0214,Printers Product 0214,Office,Printers,13089.9,16367.22,Standard
PROD0215,Skincare Product 0215,Beauty,Skincare,11589.32,18581.05,Premium
PROD0216,Storage Product 0216,Home & Kitchen,Storage,7225.51,9615.86,Standard
PROD0217,Outdoor Product 0217,Sports,Outdoor,6886.03,10834.24,Standard
PROD0218,Storage Product 0218,Home & Kitchen,Storage,292.59,499.26,Standard
PROD0219,Furniture Product 0219,Office,Furniture,17314.79,27006.32,Premium
PROD0220,Sportswear Product 0220,Sports,Sportswear,17214.81,24256.9,Value
