order_id,shipping_mode,dispatch_date,delivery_date,shipping_cost
ORD000052,Standard,2025-06-28,2025-06-30,241.89
ORD000053,Standard,2025-06-06,2025-06-14,291.18
ORD000054,Standard,2024-02-26,2024-02-28,133.92
ORD000055,Standard,2026-07-25,2026-08-02,100.75
ORD000056,Express,2024-02-26,2024-03-03,264.58
ORD000057,Standard,2026-04-05,2026-04-08,296.24
ORD000058,Express,2024-06-30,2024-07-06,187.74
ORD000059,Express,2026-07-08,2026-07-14,283.39
ORD000060,Express,2024-07-23,2024-07-28,221.42
ORD000061,Standard,2024-08-31,2024-09-02,231.55
ORD000062,Standard,2025-04-28,2025-05-05,250.91
ORD000063,Express,2026-08-10,2026-08-13,158.53
ORD000064,Standard,2024-07-20,2024-07-27,146.42
ORD000065,Express,2025-12-12,2025-12-20,119.96
ORD000066,Express,2025-04-15,2025-04-17,328.68
ORD000067,Express,2025-09-13,2025-09-15,270.35
ORD000068,Standard,2024-06-24,2024-06-28,139.39
ORD000069,Standard,2026-05-28,2026-06-01,244.09
ORD000070,Express,2026-05-10,2026-05-11,341
ORD000071,Standard,2024-09-10,2024-09-13,107.53
ORD000072,Express,2025-08-31,2025-09-06,126.28
ORD000073,Express,2024-02-17,2024-02-23,332.56
ORD000074,Standard,2025-03-12,2025-03-19,188.46
ORD000075,Standard,2024-04-13,2024-04-18,176.47
ORD000076,Express,2025-12-11,2025-12-12,266.2
ORD000077,Express,2025-10-27,2025-10-29,264.76
ORD000078,Standard,2025-04-17,2025-04-20,138.18
ORD000079,Express,2026-03-03,2026-03-09,105.77
ORD000080,Express,2025-01-16,2025-01-21,110.45
ORD000081,Standard,2025-01-30,2025-02-07,200.32
ORD000082,Express,2025-12-16,2025-12-23,191.96
ORD000083,Standard,2025-09-29,2025-10-03,192.4
ORD000084,Standard,2025-11-24,2025-11-28,102.78
ORD000085,Express,2025-09-27,2025-09-29,106.91
ORD000086,Same Day,2024-03-12,2024-03-16,231.6
ORD000087,Express,2024-09-04,2024-09-06,228.02
ORD000088,Standard,2025-08-20,2025-08-22,78.83
ORD000089,Express,2026-07-11,2026-07-12,224.21
ORD000090,Standard,2025-01-18,2025-01-25,242.55
ORD000091,Express,2025-04-27,2025-05-03,266.19
ORD000092,Standard,2025-09-29,2025-10-04,266.75
ORD000093,Standard,2026-08-23,2026-08-25,192.7
ORD000094,Same Day,2025-02-05,2025-02-10,192.43
ORD000095,Standard,2024-10-12,2024-10-17,117.48
ORD000096,Standard,2025-06-18,2025-06-25,127.58
ORD000097,Express,2024-05-18,2024-05-22,315.45
ORD000098,Standard,2024-10-27,2024-11-03,231.9
ORD000099,Express,2026-08-29,2026-08-30,361.35
ORD000100,Standard,2025-10-26,2025-11-03,37.4
ORD000101,Standard,2025-07-16,2025-07-21,132.72
ORD000102,Standard,2024-11-11,2024-11-12,214.04
ORD000103,Express,2024-10-25,2024-10-28,367.83
ORD000104,Standard,2025-09-27,2025-09-28,57.49
ORD000105,Standard,2026-05-11,2026-05-13,85.33
ORD000106,Express,2025-08-14,2025-08-17,161.67
ORD000107,Standard,2025-12-27,2025-12-31,46.42
ORD000108,Standard,2025-04-06,2025-04-07,241.92
ORD000109,Standard,2024-01-27,2024-01-29,125.13
ORD000110,Standard,2026-08-11,2026-08-13,240.81
ORD000111,Standard,2025-06-05,2025-06-08,64.35
ORD000112,Standard,2026-08-27,2026-09-04,234.19
ORD000113,Express,2026-08-03,2026-08-06,147.66
ORD000114,Standard,2024-02-12,2024-02-15,265.38
ORD000115,Standard,2025-09-26,2025-09-28,272.89
ORD000116,Standard,2025-10-21,2025-10-25,290.1
ORD000117,Express,2024-10-13,2024-10-18,368.35
ORD000118,Express,2025-11-21,2025-11-28,350.9
ORD000119,Standard,2025-09-11,2025-09-13,62.14
ORD000120,Standard,2024-06-02,2024-06-10,218.37
ORD000121,Standard,2024-12-27,2024-12-30,90.17
ORD000122,Standard,2026-01-16,2026-01-19,96.21
ORD000123,Standard,2024-06-17,2024-06-21,230.03
ORD000124,Express,2025-09-07,2025-09-15,271.12
ORD000125,Standard,2025-06-22,2025-06-26,227.24
ORD000126,Standard,2024-04-03,2024-04-05,227.84
ORD000127,Standard,2025-07-24,2025-07-25,197.33
ORD000128,Standard,2024-07-10,2024-07-16,84.27
ORD000129,Express,2024-11-07,2024-11-14,293.17
ORD000130,Standard,2024-01-31,2024-02-03,70.9
ORD000131,Express,2025-10-14,2025-10-15,149.13
ORD000132,Standard,2024-07-05,2024-07-06,165.3
ORD000133,Standard,2026-02-24,2026-03-03,118.33
ORD000134,Standard,2025-01-06,2025-01-11,147.28
ORD000135,Standard,2025-12-04,2025-12-09,155.2
ORD000136,Same Day,2026-01-22,2026-01-23,377.67
ORD000137,Standard,2024-05-30,2024-06-02,91.57
ORD000138,Standard,2024-02-27,2024-03-03,177
ORD000139,Standard,2024-02-21,2024-02-23,220.41
ORD000140,Standard,2024-07-20,2024-07-22,103.03
ORD000141,Standard,2024-11-29,2024-12-01,106.5
ORD000142,Express,2025-12-05,2025-12-12,135.54
ORD000143,Standard,2024-01-16,2024-01-19,272.53
ORD000144,Standard,2024-12-15,2024-12-22,245.4
ORD000145,Standard,2024-07-14,2024-07-22,183.83
ORD000146,Standard,2025-07-01,2025-07-08,77.64
ORD000147,Standard,2026-07-30,2026-08-01,236.6
ORD000148,Standard,2024-12-23,2024-12-25,170.17
ORD000149,Standard,2025-09-04,2025-09-09,176.04
ORD000150,Standard,2024-02-02,2024-02-04,126.62
ORD000151,Standard,2024-08-23,2024-08-29,139.75
ORD000152,Standard,2025-12-11,2025-12-18,280.38
ORD000153,Standard,2024-02-16,2024-02-18,288.97
ORD000154,Express,2024-03-03,2024-03-05,293.01
ORD000155,Standard,2025-11-17,2025-11-18,53.47
ORD000156,Standard,2024-07-31,2024-08-06,110.24
ORD000157,Standard,2026-05-19,2026-05-24,183.36
ORD000158,Same Day,2025-05-30,2025-06-03,199.82
ORD000159,Standard,2026-02-23,2026-02-26,208.24
ORD000160,Express,2024-06-26,2024-07-03,213
ORD000161,Express,2026-08-01,2026-08-04,251.46
ORD000162,Standard,2024-07-09,2024-07-10,193.56
ORD000163,Standard,2025-01-25,2025-02-01,84.1
ORD000164,Express,2024-11-18,2024-11-20,162.61
ORD000165,Standard,2025-01-05,2025-01-10,216.41
ORD000166,Standard,2024-04-29,2024-05-07,51.31
ORD000167,Standard,2026-05-12,2026-05-16,201.91
ORD000168,Same Day,2025-03-16,2025-03-24,232.84
ORD000169,Same Day,2026-08-20,2026-08-22,290.11
ORD000170,Express,2024-04-19,2024-04-25,105.21
ORD000171,Express,2024-05-27,2024-06-02,361.25
ORD000172,Standard,2026-08-06,2026-08-11,242.15
ORD000173,Express,2025-09-04,2025-09-11,337.27
ORD000174,Standard,2024-10-15,2024-10-21,284.26
ORD000175,Standard,2026-08-25,2026-08-29,43.48
ORD000176,Express,2025-05-12,2025-05-19,324.68
ORD000177,Standard,2024-09-16,2024-09-19,166.6
ORD000178,Standard,2024-04-14,2024-04-20,49.03
ORD000179,Express,2024-07-04,2024-07-08,264.56
ORD000180,Standard,2025-10-02,2025-10-08,190.21
ORD000181,Express,2025-05-21,2025-05-24,338.74
ORD000182,Express,2024-09-26,2024-09-28,308.44
ORD000183,Express,2026-02-24,2026-03-04,234.31
ORD000184,Standard,2025-04-07,2025-04-10,70.46
ORD000185,Express,2024-07-03,2024-07-04,271.57
ORD000186,Standard,2024-06-19,2024-06-26,217.75
ORD000187,Standard,2026-02-24,2026-02-26,115.76
ORD000188,Express,2025-07-09,2025-07-14,141.73
ORD000189,Express,2024-02-29,2024-03-05,132.15
ORD000190,Same Day,2025-11-26,2025-12-03,387.28
ORD000191,Standard,2025-08-29,2025-08-31,135.15
ORD000192,Standard,2025-08-22,2025-08-28,190.73
ORD000193,Standard,2025-03-16,2025-03-18,149.02
ORD000194,Standard,2024-09-10,2024-09-14,107.31
ORD000195,Standard,2025-12-06,2025-12-07,78.87
ORD000196,Express,2025-07-07,2025-07-09,176.51
ORD000197,Standard,2025-06-12,2025-06-20,250.25
ORD000198,Same Day,2024-11-23,2024-12-01,335.7
ORD000199,Express,2025-05-16,2025-05-17,154.32
ORD000200,Standard,2026-04-12,2026-04-13,169.86
ORD000201,Standard,2024-07-28,2024-08-01,143.58
ORD000202,Express,2026-05-23,2026-05-31,121.1
ORD000203,Express,2025-08-13,2025-08-18,210.6
ORD000204,Standard,2026-01-05,2026-01-08,242.68
ORD000205,Same Day,2026-04-03,2026-04-10,434.63
ORD000206,Express,2025-10-31,2025-11-06,166.1
ORD000207,Standard,2024-11-19,2024-11-20,217.37
ORD000208,Standard,2025-11-21,2025-11-22,288.44
ORD000209,Standard,2026-06-03,2026-06-10,218.44
ORD000210,Standard,2026-02-02,2026-02-07,249.02
ORD000211,Standard,2026-05-24,2026-05-30,97.13
ORD000212,Express,2024-07-25,2024-08-01,110.58
ORD000213,Standard,2026-02-25,2026-02-28,38.02
ORD000214,Express,2026-07-25,2026-07-26,216.63
ORD000215,Express,2024-10-22,2024-10-28,272.35
ORD000216,Standard,2024-04-27,2024-04-29,68.86
ORD000217,Standard,2025-04-22,2025-04-26,240
ORD000218,Standard,2024-02-09,2024-02-12,94.76
ORD000219,Express,2026-04-05,2026-04-09,252.39
ORD000220,Express,2026-01-12,2026-01-17,248.62
ORD000221,Standard,2024-11-18,2024-11-21,81.76
ORD000222,Standard,2025-01-10,2025-01-18,56.49
ORD000223,Standard,2024-08-30,2024-09-03,205.44
ORD000224,Express,2025-11-14,2025-11-17,126.38
ORD000225,Standard,2026-06-25,2026-06-28,161.69
ORD000226,Express,2024-12-05,2024-12-08,345.77
ORD000227,Standard,2026-08-16,2026-08-24,102.06
ORD000228,Standard,2024-10-10,2024-10-15,259.35
ORD000229,Standard,2025-07-01,2025-07-05,35.52
ORD000230,Express,2025-05-03,2025-05-11,306.52
ORD000231,Express,2025-01-09,2025-01-15,228.97
ORD000232,Standard,2026-07-17,2026-07-18,83.85
ORD000233,Express,2025-12-09,2025-12-15,220.76
ORD000234,Standard,2025-12-19,2025-12-22,157.78
ORD000235,Express,2024-08-31,2024-09-08,265.48
ORD000236,Express,2026-07-31,2026-08-06,146.94
ORD000237,Standard,2024-11-01,2024-11-09,224.91
ORD000238,Standard,2024-11-23,2024-11-24,51.87
ORD000239,Express,2026-03-11,2026-03-19,336.21
ORD000240,Express,2026-01-06,2026-01-11,334.62
ORD000241,Express,2025-12-18,2025-12-20,290.76
ORD000242,Standard,2026-04-13,2026-04-18,295.8
ORD000243,Same Day,2024-02-24,2024-02-28,244.45
ORD000244,Express,2025-02-17,2025-02-23,314.35
ORD000245,Standard,2024-06-11,2024-06-12,85.45
ORD000246,Standard,2026-02-21,2026-02-23,75.02
ORD000247,Express,2024-11-25,2024-11-27,309.36
ORD000248,Standard,2025-12-07,2025-12-10,205.17
ORD000249,Express,2024-07-06,2024-07-10,338.87
ORD000250,Standard,2024-08-20,2024-08-22,201.7
ORD000251,Express,2025-10-06,2025-10-13,346.32
ORD000252,Express,2025-12-22,2025-12-24,347.03
ORD000253,Standard,2024-06-04,2024-06-11,220.11
ORD000254,Standard,2024-01-17,2024-01-19,66.8
ORD000255,Standard,2025-11-21,2025-11-29,241.22
ORD000256,Standard,2026-06-04,2026-06-06,297.85
ORD000257,Standard,2026-05-28,2026-05-31,261.38
ORD000258,Same Day,2025-11-25,2025-12-03,368.19
ORD000259,Express,2024-10-25,2024-11-02,311.32
ORD000260,Standard,2025-08-20,2025-08-25,93.73
ORD000261,Standard,2025-12-12,2025-12-20,151.37
ORD000262,Standard,2026-01-25,2026-01-27,208.17
ORD000263,Standard,2026-08-14,2026-08-19,287.45
ORD000264,Standard,2025-11-18,2025-11-25,244.98
ORD000265,Express,2025-02-11,2025-02-19,129.87
ORD000266,Express,2024-07-05,2024-07-08,254.7
ORD000267,Standard,2025-04-25,2025-05-01,98.98
ORD000268,Standard,2024-09-24,2024-09-25,43.47
ORD000269,Same Day,2026-05-05,2026-05-08,379.1
ORD000270,Express,2026-06-18,2026-06-19,160.06
ORD000271,Express,2024-11-17,2024-11-20,147.64
ORD000272,Express,2026-02-23,2026-02-28,346.73
ORD000273,Express,2025-03-27,2025-04-01,179.91
ORD000274,Same Day,2025-04-27,2025-05-05,267.63
ORD000275,Standard,2026-07-08,2026-07-13,68.3
ORD000276,Standard,2025-05-13,2025-05-16,85.63
ORD000277,Standard,2024-05-09,2024-05-13,276.67
ORD000278,Standard,2024-06-24,2024-06-26,81.85
ORD000279,Same Day,2024-08-07,2024-08-11,268.76
ORD000280,Standard,2024-07-05,2024-07-07,43.9
ORD000281,Express,2024-04-09,2024-04-11,266.08
ORD000282,Standard,2025-02-09,2025-02-12,246.35
ORD000283,Standard,2024-06-07,2024-06-10,129.03
ORD000284,Standard,2025-04-10,2025-04-12,178.33
ORD000285,Express,2025-11-04,2025-11-12,240.96
ORD000286,Standard,2026-03-30,2026-04-04,48.3
ORD000287,Standard,2024-10-17,2024-10-25,145.21
ORD000288,Standard,2025-09-10,2025-09-12,223.94
ORD000289,Standard,2026-03-02,2026-03-04,200.27
ORD000290,Same Day,2026-03-12,2026-03-19,277.82
ORD000291,Standard,2024-05-05,2024-05-10,234.76
ORD000292,Express,2024-11-14,2024-11-16,117.46
ORD000293,Express,2024-07-26,2024-08-03,148.62
ORD000294,Express,2025-09-09,2025-09-15,117.54
ORD000295,Express,2024-07-10,2024-07-13,339.83
ORD000296,Standard,2025-04-21,2025-04-27,281.26
ORD000297,Standard,2025-06-25,2025-07-03,291.19
ORD000298,Express,2026-04-03,2026-04-07,254.34
ORD000299,Standard,2024-11-06,2024-11-07,141.18
ORD000300,Standard,2024-03-22,2024-03-23,156.63
ORD000301,Standard,2025-04-22,2025-04-23,92.64
ORD000302,Standard,2026-02-27,2026-03-02,192.7
ORD000303,Standard,2026-03-19,2026-03-25,233.08
ORD000304,Standard,2025-12-23,2025-12-27,256.82
ORD000305,Standard,2025-04-08,2025-04-12,293.52
ORD000306,Express,2024-08-07,2024-08-14,155.19
ORD000307,Standard,2025-11-22,2025-11-29,290.35
ORD000308,Standard,2024-01-17,2024-01-19,164.04
ORD000309,Standard,2025-11-05,2025-11-06,178.4
ORD000310,Same Day,2025-12-09,2025-12-14,303.42
ORD000311,Standard,2024-07-15,2024-07-23,130.44
ORD000312,Express,2024-01-31,2024-02-08,368.49
ORD000313,Express,2026-05-15,2026-05-16,270.33
ORD000314,Standard,2025-05-02,2025-05-10,86.45
ORD000315,Same Day,2025-12-22,2025-12-27,269.28
ORD000316,Standard,2025-08-23,2025-08-29,230.47
ORD000317,Standard,2024-02-24,2024-03-02,110.15
ORD000318,Express,2025-03-04,2025-03-10,186.67
ORD000319,Standard,2024-10-25,2024-11-02,155.29
ORD000320,Express,2025-09-20,2025-09-23,208.28
ORD000321,Standard,2025-08-15,2025-08-18,154.41
ORD000322,Standard,2026-07-01,2026-07-08,98.11
ORD000323,Same Day,2025-04-06,2025-04-07,290.93
ORD000324,Express,2024-12-19,2024-12-27,193.7
ORD000325,Express,2024-12-14,2024-12-18,278.29
ORD000326,Standard,2025-03-04,2025-03-10,281.73
ORD000327,Express,2025-09-30,2025-10-07,220.21
ORD000328,Same Day,2024-05-13,2024-05-14,335.36
ORD000329,Standard,2025-03-02,2025-03-06,272.41
ORD000330,Standard,2024-01-20,2024-01-27,245.98
ORD000331,Standard,2026-04-28,2026-05-06,219.12
ORD000332,Express,2025-09-27,2025-10-02,352.46
ORD000333,Standard,2024-12-17,2024-12-19,130.81
ORD000334,Same Day,2026-07-07,2026-07-15,204.35
ORD000335,Same Day,2024-04-18,2024-04-21,261.49
ORD000336,Standard,2026-05-12,2026-05-13,237.42
ORD000337,Standard,2026-05-30,2026-06-04,140
ORD000338,Standard,2025-10-08,2025-10-16,231.99
ORD000339,Standard,2024-10-27,2024-10-31,94
ORD000340,Standard,2024-06-08,2024-06-15,80.86
ORD000341,Express,2025-03-28,2025-04-01,224.92
ORD000342,Standard,2025-05-03,2025-05-10,219.1
ORD000343,Same Day,2026-01-03,2026-01-11,363.6
ORD000344,Standard,2026-02-12,2026-02-13,77.23
ORD000345,Standard,2025-03-01,2025-03-07,279.19
ORD000346,Standard,2025-12-02,2025-12-04,104.58
ORD000347,Standard,2026-01-05,2026-01-11,187.82
ORD000348,Standard,2026-03-04,2026-03-12,50.39
ORD000349,Same Day,2026-08-04,2026-08-06,253.84
ORD000350,Standard,2026-01-03,2026-01-07,168.66
ORD000351,Standard,2025-12-21,2025-12-28,40.88
ORD000352,Same Day,2024-12-19,2024-12-20,193.98
ORD000353,Standard,2024-05-31,2024-06-01,272.94
ORD000354,Standard,2026-03-20,2026-03-26,222.52
ORD000355,Standard,2025-02-21,2025-02-22,287.47
ORD000356,Express,2025-02-05,2025-02-07,109.69
ORD000357,Express,2025-06-08,2025-06-12,289.97
ORD000358,Standard,2024-01-25,2024-02-01,101.56
ORD000359,Standard,2026-05-05,2026-05-09,285.95
ORD000360,Standard,2024-03-04,2024-03-07,49.41
ORD000361,Standard,2026-02-16,2026-02-17,217.08
ORD000362,Express,2024-12-15,2024-12-21,161.52
ORD000363,Standard,2026-07-05,2026-07-08,219.64
ORD000364,Standard,2025-11-15,2025-11-19,115.58
ORD000365,Express,2024-09-11,2024-09-12,123.9
ORD000366,Standard,2025-01-05,2025-01-09,175.51
ORD000367,Express,2024-03-25,2024-03-31,289.21
ORD000368,Express,2025-04-02,2025-04-03,178.21
ORD000369,Express,2025-06-18,2025-06-19,321.67
ORD000370,Standard,2025-03-29,2025-04-05,219.67
ORD000371,Express,2025-06-03,2025-06-08,281.74
ORD000372,Standard,2025-06-11,2025-06-19,138.39
ORD000373,Express,2026-02-05,2026-02-10,361.76
ORD000374,Express,2025-09-09,2025-09-16,323.55
ORD000375,Express,2025-06-20,2025-06-22,217.46
ORD000376,Standard,2024-10-31,2024-11-02,293.51
ORD000377,Standard,2025-03-08,2025-03-12,211.1
ORD000378,Standard,2024-07-08,2024-07-09,111.82
ORD000379,Standard,2024-02-16,2024-02-18,278.77
ORD000380,Express,2024-12-12,2024-12-17,346.91
ORD000381,Standard,2026-02-22,2026-03-01,119.87
ORD000382,Express,2025-04-06,2025-04-12,184.51
ORD000383,Standard,2025-11-14,2025-11-22,93.06
ORD000384,Express,2024-02-18,2024-02-20,348.73
ORD000385,Express,2025-12-26,2025-12-30,213.18
ORD000386,Standard,2025-07-29,2025-08-04,139.89
ORD000387,Standard,2025-07-10,2025-07-12,184.04
ORD000388,Express,2026-02-08,2026-02-14,252.02
ORD000389,Express,2025-06-30,2025-07-03,262.06
ORD000390,Express,2026-05-02,2026-05-06,275.06
ORD000391,Standard,2025-02-17,2025-02-18,134.19
ORD000392,Standard,2024-07-05,2024-07-12,196.68
ORD000393,Express,2024-04-06,2024-04-09,299.63
ORD000394,Express,2024-07-07,2024-07-08,288.5
ORD000395,Express,2025-11-26,2025-12-02,356.78
ORD000396,Same Day,2026-01-01,2026-01-02,398.83
ORD000397,Standard,2026-07-06,2026-07-11,288.11
ORD000398,Standard,2024-02-24,2024-02-25,206.2
ORD000399,Express,2025-06-05,2025-06-07,244.13
ORD000400,Express,2025-04-23,2025-04-25,255.08
ORD000401,Standard,2024-08-30,2024-09-05,114.74
ORD000402,Standard,2024-09-10,2024-09-12,74.39
ORD000403,Standard,2025-04-02,2025-04-06,129.84
ORD000404,Standard,2024-05-26,2024-06-03,273.08
ORD000405,Standard,2025-03-12,2025-03-19,218.33
ORD000406,Standard,2026-04-30,2026-05-04,58.36
ORD000407,Express,2026-08-03,2026-08-04,311.36
ORD000408,Express,2024-12-27,2025-01-02,281.61
ORD000409,Standard,2026-01-27,2026-01-30,152.52
ORD000410,Standard,2024-05-08,2024-05-09,147.24
ORD000411,Standard,2024-08-06,2024-08-10,234.05
ORD000412,Standard,2024-12-17,2024-12-18,142.48
ORD000413,Express,2025-11-10,2025-11-14,108.94
ORD000414,Express,2024-01-19,2024-01-21,110.14
ORD000415,Standard,2026-07-15,2026-07-21,299.35
ORD000416,Standard,2025-12-24,2025-12-29,184.86
ORD000417,Standard,2025-10-29,2025-11-02,78.96
ORD000418,Standard,2025-04-01,2025-04-04,153.53
ORD000419,Standard,2025-01-04,2025-01-09,165.42
ORD000420,Standard,2024-01-11,2024-01-19,227.99
ORD000421,Express,2024-08-17,2024-08-20,364.4
ORD000422,Standard,2024-07-16,2024-07-20,210.36
ORD000423,Standard,2024-08-17,2024-08-25,204.76
ORD000424,Standard,2025-05-20,2025-05-21,68.2
ORD000425,Standard,2024-04-25,2024-05-02,145.11
ORD000426,Express,2025-11-09,2025-11-16,298.65
ORD000427,Standard,2025-08-27,2025-08-29,257.5
ORD000428,Express,2026-05-28,2026-06-05,155.32
ORD000429,Standard,2026-05-19,2026-05-26,63.83
ORD000430,Express,2024-09-16,2024-09-17,264.85
ORD000431,Standard,2025-11-21,2025-11-26,195.48
ORD000432,Express,2025-02-22,2025-02-24,123.72
ORD000433,Same Day,2025-06-15,2025-06-21,355.39
ORD000434,Same Day,2025-03-08,2025-03-16,366.33
ORD000435,Standard,2024-03-25,2024-03-31,61.86
ORD000436,Standard,2025-12-10,2025-12-14,93.57
ORD000437,Standard,2024-12-06,2024-12-09,76.04
ORD000438,Express,2025-03-20,2025-03-28,211.3
ORD000439,Same Day,2024-09-15,2024-09-22,207.2
ORD000440,Standard,2024-02-27,2024-03-03,60.87
ORD000441,Express,2025-09-09,2025-09-13,239.95
ORD000442,Express,2024-03-31,2024-04-04,350.32
ORD000443,Express,2025-12-14,2025-12-18,127.27
ORD000444,Standard,2024-02-28,2024-03-04,241.34
ORD000445,Standard,2024-02-28,2024-03-07,51.78
ORD000446,Standard,2025-09-25,2025-09-28,139.38
ORD000447,Standard,2024-01-13,2024-01-14,224.08
ORD000448,Standard,2025-09-27,2025-10-03,234.16
ORD000449,Express,2025-04-12,2025-04-18,279.01
ORD000450,Standard,2025-09-03,2025-09-05,117.55
ORD000451,Standard,2024-05-10,2024-05-13,256.19
ORD000452,Express,2025-04-01,2025-04-03,118.11
ORD000453,Standard,2024-11-16,2024-11-18,44.81
ORD000454,Standard,2024-11-15,2024-11-17,270.57
ORD000455,Standard,2024-11-15,2024-11-23,273.79
ORD000456,Express,2025-11-05,2025-11-07,107.09
ORD000457,Standard,2026-06-01,2026-06-04,230.39
ORD000458,Same Day,2026-07-21,2026-07-26,362.75
ORD000459,Express,2025-12-15,2025-12-18,163.89
ORD000460,Express,2024-12-12,2024-12-20,210.58
ORD000461,Standard,2026-03-22,2026-03-27,55.1
ORD000462,Standard,2025-12-11,2025-12-17,194.6
ORD000463,Express,2026-02-26,2026-03-06,142.95
ORD000464,Standard,2026-04-26,2026-04-30,259.22
ORD000465,Standard,2024-04-29,2024-05-07,62.2
ORD000466,Standard,2026-02-24,2026-03-01,168.5
ORD000467,Standard,2024-06-29,2024-07-06,66.23
ORD000468,Same Day,2025-07-24,2025-07-30,292.31
ORD000469,Standard,2026-07-24,2026-07-31,155.45
ORD000470,Standard,2026-03-18,2026-03-23,198.8
ORD000471,Standard,2025-01-16,2025-01-23,282.02
ORD000472,Same Day,2025-10-03,2025-10-09,376.17
ORD000473,Same Day,2026-08-07,2026-08-11,414.23
ORD000474,Express,2025-01-20,2025-01-22,228.84
ORD000475,Standard,2024-02-19,2024-02-21,217.92
ORD000476,Standard,2024-09-12,2024-09-18,150.04
ORD000477,Standard,2025-06-07,2025-06-09,90.35
ORD000478,Express,2025-04-27,2025-04-28,344.91
ORD000479,Standard,2026-02-11,2026-02-14,274.49
ORD000480,Standard,2025-12-31,2026-01-02,81.22
ORD000481,Express,2025-05-03,2025-05-11,292.7
ORD000482,Express,2025-10-30,2025-11-02,269.06
ORD000483,Standard,2024-08-31,2024-09-05,120.09
ORD000484,Express,2024-06-11,2024-06-12,349.86
ORD000485,Same Day,2024-10-30,2024-11-03,345.06
ORD000486,Standard,2025-06-11,2025-06-16,200.15
ORD000487,Standard,2026-04-04,2026-04-08,180.44
ORD000488,Same Day,2024-08-30,2024-09-03,405.11
ORD000489,Same Day,2026-05-14,2026-05-16,264.28
ORD000490,Standard,2026-08-08,2026-08-14,270.52
ORD000491,Standard,2024-07-27,2024-07-29,205.98
ORD000492,Express,2026-04-16,2026-04-19,148.49
ORD000493,Express,2026-05-28,2026-06-03,294.17
ORD000494,Standard,2026-04-23,2026-04-25,278.42
ORD000495,Express,2025-08-19,2025-08-27,184.5
ORD000496,Standard,2024-06-03,2024-06-08,67.76
ORD000497,Express,2024-08-29,2024-09-03,145.14
ORD000498,Express,2026-04-15,2026-04-17,318.96
ORD000499,Express,2025-03-16,2025-03-19,162.01
ORD000500,Standard,2025-01-21,2025-01-23,134.16
ORD000501,Express,2024-01-13,2024-01-16,351.11
ORD000502,Standard,2025-03-08,2025-03-11,295.52
